,episode_number,Episode_title,description,Episode_runtime,Released_on
0,2101,Manhar Manmoji In Jethalals House,Daya informs Champaklal that Manhar Manmoji is out of his mind. Two news-reporters come to Jethalal's house to interview Manhar Manmoji. What will Gada family do of Manhar? How will they get rid of him? Find out in this episode of Taarak Mehta Ka Oolta Chashmah.,20 mins,26 Dec 2016
1,2102,Samir Visits His Father,Samir comes to Jethalal's house and meets his father. Manhar Manmoji informs his son that he will continue to stay in Jethalal's house. What will Jethalal do now? Can he handle Manhar? Watch this episode to find out.,20 mins,27 Dec 2016
2,2103,Popatlal Ki Samasya,"Taarak advises Popatlal to ask Asit as to when will he get married. Popatlal comes to Asit's office. However, Asit refuses to meet him. Will Popatlal get his bride and be happy finally? Watch this episode of Taarak Mehta Ka Oolta Chashmah to find out.",21 mins,28 Dec 2016
3,2104,Popatlal Meets Asit,Popatlal meets Asit in his office. He anxiously asks Asit as to when he would get married. Tapu Sena plans to organize a New Year party in Gokuldham society. Watch Taarak Mehta Ka Oolta Chashmah and find out what happens next.,19 mins,29 Nov 2016
4,2105,New Year Party,"Jethalal and his neighbours gather for the New Year party. At the gathering, Bhide and Iyer share the memories from the last year with everyone. Watch this episode to look at the preparations and enjoyment of New Year with Taarak Mehta Ka Oolta Chashmah.",21 mins,30 Dec 2016
5,2106,Sodhi Ka Secret,"Taarak, Bagha, and Popatlal share the memories from the last year with all their neighbours. Sodhi plans to reveal the secret of the French wine to Champaklal. What is Sodhi going to say to Champaklal? Find out in this episode of Taarak Mehta Ka Oolta Chashmah.",20 mins,02 Jan 2017
6,2107,Iyer's Gift For Babita,Iyer gifts a wristwatch to Babita. Tapu Sena informs Iyer that they have decided to organize a cleanliness drive on the first day of the New Year. Watch Tapu Sena take charge of making the earth clean in this episode of Taarak Mehta Ka Oolta Chashmah.,19 mins,03 Jan 2017
7,2108,Dirty Champaklal,Champaklal tells Jethalal that Tapu had organized a cleanliness drive on the first day of the New Year. A speeding car splashes muddy water on Champaklal's clothes which makes him angry. What will Champaklal do now? Watch this episode of Taarak Mehta Ka Oolta Chashmah to find out.,20 mins,04 Jan 2017
8,2109,Bhide Confronts Jethalal,Tapu and his friends break the rear-view mirror of Bhide's scooter. Bhide angrily stands before Jethalal's house. He asks Jethalal to fix his scooter's mirror. Watch Taarak Mehta Ka Oolta Chashmah and find out what happens next.,20 mins,05 Jan 2017
9,2110,Tapu Sena Accept Their Mistake,Babita requests Jethalal to not fight with Bhide. Tapu Sena informs Jethalal that they have broken the rear-view mirror of Bhide's scooter. What will Jethalal do now? Will he get Bhide's scooter repaired?,20 mins,06 Jan 2017
