,episode_number,Episode_title,description,Episode_runtime,Released_on
0,301,Makar Sakranti Preparations,"Daya's mother has gone to Triveni Sangam in Allahabad. Jethalal gets angry when he hears this. Meanwhile, in Mumbai, everyone goes to buy kites in Sodi's jeep. How will their kite shopping go?  Watch this episode to find out.",19 mins,08 Jan 2020
1,302,Makar Sankranti Celebrations,"The Gada family is spending Makar Sankranti in Ahmedabad, while all the Gokuldham residents celebrate it in Mumbai and plan on having lunch together after the celebration. Watch this episode to see their celebration.",20 mins,08 Jan 2020
2,303,The Disappointing Roadtrip,"Champaklal is angry with Jethalal for making them travel by car. Jethalal shares his Ahemdabad trip experience with all the men at the soda shop. They all decide to meet the next day, early morning for their laughter club activity. Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",19 mins,08 Jan 2020
3,304,Dr,Doctor Hathi can't stop laughing. Everyone starts giving solutions to stop Doctor Hathi's non-stop laughter. How will he stop laughing now? Watch this episode to find out.,39 mins,08 Jan 2020
4,305,Mehta's Mater Plan,Mehta comes up with a plan to stop Dr. Hathi's laughter. All the society members decide that Dr. Hathi and Komal have to leave the Gokuldham society. Is this going to stop Dr. Hathi from laughing? Watch this episode of Taarak Metha Ka Ooltha Chashma to find out.,20 mins,08 Jan 2020
5,306,Republic Day Preparations,"When Tappu asks his father to take him to watch a movie, Champaklal doesn't allow them to do so. Bhide wants everyone to give a speech on Republic Day. Will everyone agree to do it? Watch this episode to find out.",20 mins,08 Jan 2020
6,307,The Best Republic Day Speech,"On the occasion of Republic Day, everyone in the Gokuldham society is supposed to prepare a speech on the nation. Who is going to win? Will Jetha defeat Iyer? Find out in this episode of Taarak Mehta Ka Ooltah Chashmah.",19 mins,08 Jan 2020
7,308,The Speech,Gokuldham Society celebrates Republic Day. All the men have prepared a speech. They all fight to go first.  All the ladies have a surprise planned too. What have the ladies planned? Watch this episode to find out.,18 mins,08 Jan 2020
8,309,Patriotic Residents Of Gokuldham,Everyone gets happy when Mehta tells them that all the ladies are going to give one more performance. Champaklal also performs. Daya gives a special shirt to Jethalal. What kind of a shirt does Daya gift Jethalal? Watch this episode to find out.,20 mins,08 Jan 2020
9,310,Bhide Thinks Of Buying A Computer,Madhavi taunts Bhide for not having a computer and tells him that a computer is a must for Sonu's better education. Bhide gives it a thought and goes to Taarak Mehta to seek some advice. Mehta agrees with Madhavi and advises Bhide to consult Jethalal for the same. What will Bhide do now? Watch this episode to find out.,FULL_HD118 mins,08 Jan 2020
10,311,Bhide On The Hunt To Buy A Computer,"Bhide visits Jethalal's shop as he wants to buy a new computer. Jethalal asks Lokesh Bhai, a computer deal, to show Bhide the best computer. Bhide says he'll place the order later and leaves for home. On the way back, Bhide sees a shop selling the same computer for a much lesser price. What will Bhide do now? Watch this episode of Taarak Mehta Ka Ooltah Chashmah to find out.",20 mins,08 Jan 2020
11,312,Bhide Misunderstands Jethalal,"Bhide tells Madhavi about the whole situation and starts thinking that Jethalal is being sly and planning his commission. Later, Bhide discusses the entire matter with all the males at the soda shop. Only Mehta supports Jethalal while all the others agree with Bhide. Is Bhide right about Jethalal?",18 mins,08 Jan 2020
12,313,Bhide Finally Places The Order With Jethalal,"Mehta and Jethalal explain Bhide that the computer shop Bhide is mentioning is known for putting duplicate parts in electronics and selling them. Bhide apologizes to Jethalal and asks Jethalal to place the order for the computer with Lokesh Bhai right away. Later, Daya and all the ladies confront Jethalal in the society compound again, not knowing that Bhide had already apologized to Jethalal for the same. What will Daya do now? Will Jethalal forgive her?",19 mins,08 Jan 2020
13,314,Bhide's Horoscope And Computer Delivery Time Do Not Match,"When Bhide reads his horoscope in the newspaper, he finds out that it will be inauspicious if the computer gets delivered to his place before noon. Later, all the members of Gokuldham society gather at Bhide's residence for Sathyanarayan Katha. When Champak chacha starts the computer, it doesn't work. Keep watching Taarak Mehta Ka Ooltah Cashmah and find out what happens next.",18 mins,08 Jan 2020
