,episode_number,Episode_title,description,Episode_runtime,Released_on
0,1601,Bagha's Poetry,"When officers come to visit Gada electronics and asks for a license, Jethalal gives them the license, but it is the poetry written by Bagha. Jethalal gets angry at Bagha.",19 mins,28 May 2020
1,1602,Wives Expectations,"When all the women heard Anjali's story, they tend to seek the same from their husbands. All the Wives expect their husbands to write poetry for them.",20 mins,29 May 2020
2,1603,Taarak's Motivation,When all the women expect their husbands to write poetry. All the men gather and go to Taarak. They tell him to write poetry for them.,20 mins,29 May 2020
3,1604,Writing Poem,"Taking the motivation from Taarak Mehta, all the men from Gokuldham tries to write poetry for their wives. Watch the episode to see what happens next.",19 mins,29 May 2020
4,1605,Competition Planning,"Taarak takes a class for all the men to teach them how to write poetry. Meanwhile, Wives decide to organize a competition for the Men.",19 mins,29 May 2020
5,1606,Poetry Competition,It's the competition day where all the men are prepared to impress their wives. All the wives are excited to see who will be the best.,20 mins,29 May 2020
6,1607,Where Is Iyer?,"Dr. Hathi's poetry reading and Sodhi's entertaining performance are to be followed by Iyer's act. But where is he? Right before the performance, Iyer is not to be found anywhere. Find out what the mystery is all about in this episode.",19 mins,02 Jul 2020
7,1608,Iyer Recieves The Award,"Iyer hides from everyone because he has nothing written for Babita. Babita taunts him regarding the same and gives him the worst husband award. Later, Iyer comes up with the best poetry.",19 mins,29 May 2020
8,1609,Jethalal's Valentine,"Jethalal enters the stage to tell his poetry, and the paper catches fire. Before Iyer starts to taunt Jethalal, he agrees and recites his poetry and impresses Daya.",20 mins,29 May 2020
9,1610,Madhvi's Plan,The next day after valentine is peaceful and all the wives are happy with their husband's poetry. Madhvi tries to convince Bhide to go for a ride.,20 mins,29 May 2020
10,1611,Ganesh Acharya's  Entry,"Daya gets excited and goes to Dr. Hathi to tell him about his brother, who was lost in childhood will be coming home today. Ganesh Acharya is the brother. Ganesh Acharya explains to everyone that Dr. Hathi is not his brother and his new movie is related to the brothers.",19 mins,29 May 2020
11,1612,Jethalal's Dinner Menu,"Daya asks Jethalal about his favorite food that she will prepare for the dinner. Jethalal suggests one by one, but she denies to accept by giving some unusual reasons. Finally, Daya tells that she has already fixed a menu for dinner.  Jethalal gets furious after he gets to know that the menu has already been fixed.",19 mins,29 May 2020
12,1613,Bagha's Marriage Plan,"Bagha reaches the house to bring the lunchbox for Jethalal and Nattu kaka. Bagha request Daya to take some action to fix his marriage with Bawri soon. Later, Daya confirmes that she will start to find the auspicious day for their marriage.",19 mins,29 May 2020
13,1614,Jethalal's Lunch Box,Jethalal sends Bagha home to get his lunch box. Bagha acts weird regarding the lunch box. Jethalal gets angry and fights to know the truth.,19 mins,29 May 2020
14,1615,Jethalal Gets Furious,"Jethalal gets angry and leaves the shop to go back home for food. Daya also reaches Gada electronics to meet Jethalal. Meanwhile, Jethalal has reached home and is waiting for Daya to serve him food.",19 mins,29 May 2020
15,1616,Jethalal Skips His Meal,"Chamklal's friends are appreciating Daya's specialty food. Jethalal misses the delicious food because of their surprise visit. Later, Daya forces Jethalal that she will cook food again, but he refuses to do it.",19 mins,29 May 2020
16,1617,Bhide's Seek Help,"Bhide is irritating Jethalal by asking the same question about his bike registration number. Bhide doesn't want to miss an auspicious time for the rituals and he doesn't want to perform them until he gets the bike's registration. Meanwhile, Jethalal gets frustrated and denies to help him. Will Bhide get the registration number before missing the auspicious time?",18 mins,29 May 2020
17,1618,Jethalal Gets Irritated,"Bhide forces Jethalal to use his influence to get the registration number for his Bike. Jethalal talks to Bharat to get a confirmation about the registration number. Later, Bhide is shocked after learning that his uncle is severely injured after he fell from the staircase.",20 mins,29 May 2020
18,1619,Bhide's Uncle Gets Hospitalized,"Bhide and Madhavi hurriedly reach uncle's house after learning that he is severely injured. Bhide insists uncle to get admitted to the hospital for better treatment. Later, Bhide is shocked after seeing he is not injured. Uncle reveals that he had fixed a bet with her aunt about the arrival of Bhide and Madhavi.",19 mins,29 May 2020
19,1620,Garba Practice,Everyone gathers and practice Garba dance in society. Jethalal is wearing a helmet and dancing making it a comic scene.,19 mins,29 May 2020
20,1621,Daya and Jethalal's Fight,Bhide and Madhvi go on a ride after registration of the bike. When Taarak and Popatlal come home and Jethalal asks Daya to get him masala tea. Daya strictly denies to give him tea because of his wife.,19 mins,29 May 2020
21,1622,Popatlal Gets Angry,"When planning for the Holi celebrations, Popatlal gets angry with Jethalal and goes home. Later, Daya explains to Jethalal and ask him to apologize.",20 mins,29 May 2020
22,1623,Sundar's Holi Plan,"On the occasion of Holi, when everyone is set to play, someone locks everyone's door. When Abdul comes to help them, Abdul gets a strange message saying he should not help anyone from Gokuldham society.",20 mins,29 May 2020
23,1624,Daya Hides Jethalal's Wallet,"Daya hides the wallet of Jethalal to trouble him. Daya is shocked after seeing Jethalal has stored a family photo in his wallet. After Jethalal leaves for the work, Popatlal reaches the Gada's house to inform about his nightmare to Daya and ask for a solution.",20 mins,29 May 2020
24,1625,Jethalal Gets Huge Order?,Jethalal gets excited after receiving a call from Ajay Mallya. He has invited Jethalal to his office for a huge order of electronics. Will Jethalal get a huge order and improve the profit margin of the business?,19 mins,29 May 2020
25,1626,Madhavi Gets A Huge Order,Madhavi is excited that she has got a huge order of pickle for the girl's hostel. Bhide jumps after sitting on the sofa and gets hurts from the needle which was kept by Madhavi while sewing. Jethalal taunts Bhide that he has woken up early morning for doing his personal work.,20 mins,29 May 2020
26,1627,Jethalal Scolds Bawri,"Jethalal scolds Bagha. He tells him that he can't celebrate his first meet anniversary with Bawri by leaving his work. Jethalal strictly warns Bawri if she pays an unwanted visit without his permission in the shop, he will take action against him. Will Bagha be able to celebrate his first meet ceremony?",19 mins,29 May 2020
27,1628,Jethalal Invites Bawri,"Jethalal scolds Bagha. He tells him that he can't celebrate his first meet anniversary with Bawri by leaving his work. Jethalal strictly warns Bawri if she pays an unwanted visit without his permission in the shop, he will take action against him. Will Bagha be able to celebrate his first meet ceremony?",19 mins,29 May 2020
28,1629,Bawri's Lies,"Jethalal had thought Bawri is lucky for his shop but eventually, Bawri has put Jethalal in trouble. Jethalal is furious at Bawri and decides to take action.",17 mins,29 May 2020
29,1630,Anjali's Writing,"Anjali shares that she wants to write a script, but she is not able to decide a subject for it. Later, Taarak tells her to choose a decent subject that she feels comfortable writing about. What will Anjali decide her subject for the script?",19 mins,29 May 2020
30,1631,Dr,"Bhide and Dr. Hathi decide to spread awareness about the diseases in the society members about health issues. Later, Dr. Hathi tells Bhide about the disease symptoms and their causes.",20 mins,29 May 2020
31,1632,The Unknown Baby,"Jethalal and family members are shocked after seeing that Daya got a small baby from the temple road. After enquiring, Daya narrates the incident which happened in the temple with the family members. Will Daya and the members find the existence of an unknown baby?",19 mins,29 May 2020
32,1633,Bhide Scolds Abdul,"Bhide scolds Abdul that he found his bike beside the road instead of society compound. Abdul tells Bhide that he is unaware of it. Later, Dr. Hathi suggests Bhide to ask Madhavi about it. Will Bhide find the exact reason for his concern?",19 mins,29 May 2020
33,1634,Bhide Gets Worried,"Bhide and Abdul tied a chain to the scooter to prevent it from theft. Bhide is tensed that the ladies did not return home since morning. Later, Bhide is trying to call Madhavi to know about her whereabouts, but she deliberately avoids receiving his call.",20 mins,29 May 2020
34,1635,Bhide's Bike Gets Stolen,The men from the Gokuldham society are shocked that the ladies did not pick up the call. The ladies file a complaint at the police station about the bike. The society members are tensed that the ladies did not receive a call even after consistently trying it.,18 mins,29 May 2020
