,episode_number,Episode_title,description,Episode_runtime,Released_on
0,2801,Everybody Tries To Stop Bhide,Popatlal with Abdul comes in to make an effort to stop Bhide from leaving. He tells Bhide that some Officers are coming to society and the secretary is required to be there. Bhide has a decision to make and Madhvi wants him to resign from the post.,20 mins,21 Aug 2019
1,2802,Sodhi To The Rescue,"After the unmatchable effort of Champak Chacha, everyone just waits for the good news. But Bhide just didnt give up and enquired about the train from Railway. He comes down to write the Suvichar.ow everyone is just looking for any reason to stop him and all eyes turn to Sodhi.",20 mins,22 Aug 2019
2,2803,Plan To Stop Bhide,"The members of Gokuldham society try their best to stop Bhide from going to Ratnagiri. Hathi asks him to open his shirt so that he can check him well. At first, he hesitates but later he agrees and gets late for his trip.",19 mins,23 Aug 2019
3,2804,Jethalal Attacks Sodhi,"All the people at Gokuldham Society are trying to stop Bhide and his wife. They want Sonu to surprise them. Jethalal even poses as a thief and steals their luggage. However, stubborn Bhide still wants to go. They are just about to leave, when a car stops their way. Who is in the car?",20 mins,26 Aug 2019
4,2805,Sonu Is Successful With The Surprise,"The bus blocks Sodhi, Bhide, and Madhvi. From the car comes a gang of dancers. They give an amazing performance and from behind comes Sonu. She comes and at once and wins everyone's hearts. Bhide and Madhvi realize that everyone was associated with Tapu Sena to stop them from going to Ratnagiri.",20 mins,27 Aug 2019
5,2806,Jethalal's Shirt Button,"It's early morning and Jethalal is worried as he needs to stitch the button of his shirt. Champaklal comes to help but couldn't help. Finally, Tapu arrives and stitches the button. Meanwhile, there is a tussle between Bhide and Popatlal for a trivial issue.",20 mins,28 Aug 2019
6,2807,Where Did Sonu Go?,"Bhide and Popatlal get into a small quarrel over the Suvichar. However, Champak Chacha clarifies the misunderstanding and clears the air between the two. Bhide has to give food to Sonu so he goes to her college. Sonu is nowhere to be found in the college.",20 mins,29 Aug 2019
7,2808,Bhide Is Irritated,Bhide goes to the college with tiffin for Sonu but gets to know that Sonu is not in college. Goli tells him that Sonu and Tapu are hanging out somewhere. Bhide returns home completely irritated.,20 mins,30 Aug 2019
8,2809,Bhide Takes Jethalal To Catch Tapu,"Bhide goes to Jethalal's shop to take him for the movies. His true intention is to catch Sonu and Tapu at the theatre and that too in front of Jethalal. After a lot of hindrances, they reach the theatre. They enter the hall and scan the entirety of it to find the kids. Bhide is unsuccessful in his mission.",19 mins,02 Sep 2019
9,2810,Sonu Reveals The Truth,Bhide and Jethalal don't find Tapu and Sonu anywhere. Then Sonu and Tapu arrive at Bhide's house. Bhide rushes back and starts questioning them. The truth is that Sonu and Tapu had gone to the mall to get gifts for Bhide and Madhvi.,20 mins,03 Sep 2019
10,2811,Jethalal Does Exercise,Jethalal wakes up due to a nightmare. Then Tapu and Champak Chacha make him workout. Tapu teaches him Suryanamaskar. All three of them work out for some time. Babita also comes for help.,20 mins,04 Sep 2019
11,2812,The Clubhouse Meeting,Bhide has a lot of work for the Gokuldham society. Jethalal brings his maintenance cheque to Bhide and at that time Bhide informs him that there is a meeting related to Ganesh Chaturthi at the clubhouse. Jethalal is a little late when Iyer starts getting irritated. Jethalal and Iyer argue. Then a mouse causes chaos at the clubhouse.,20 mins,05 Sep 2019
12,2813,Ganesh Chaturthi Preparations,"Everyone at Gokuldham society is preparing for the Ganesh Festival. They are all having fun. Some of them have gone to get the Ganesh idol, some of the others are helping with the decorations. The stage for the Ganesh idol is also being set up. Some of them are making sweets as well. Jethalal also gets a new scheme for his shop.",21 mins,06 Sep 2019
13,2814,The Storm,"Everyone in Gokuldham Society is very excited about the Ganesh Festival. They are all very happy about it. The men want to check the decorations done by Tapu Sena. In the end, everyone goes to sleep early. In the middle of the night, there is a massive storm, resulting in a bad situaation.",19 mins,09 Sep 2019
14,2815,Miraculous Help,"All the people at Gokuldham society are extremely tensed with the platform for Ganapati. At last, they try by themselves and even then when it doesn't work, they pray to Ganpati Bappa. In a while, they have several workers to help them. Nobody had sent those workers and Gokuldham society people are all confused.",20 mins,10 Sep 2019
15,2816,Gokuldham Rangarang Karyakram,The Gokuldham Society members realize that it was Ganapati Bappa himself who had sent help to them. The next morning the idol is brought to the platform and the puja is done with a lot of happiness. Tapu Sena announces the Gokuldham Rangarang Karyakram but there is a problem. Stay tuned to know more!,20 mins,11 Sep 2019
16,2817,Everybody Wants To Win,All the members of the Gokuldham Society are upset and excited to know what they need to perform for the Gokuldham Rangarang Karyakram. They all want to win the program and are trying to know about it from Tapu Sena.,20 mins,12 Sep 2019
17,2818,Jethalal Thinks Of A Plan,"Jethalal gets tensed about the rising problem and thinks of solving it. Later, he calls Gogi for some help but Goli arrives in the scene and helps him out in solving his problem.",20 mins,13 Sep 2019
18,2819,Time To Dance,The Gokuldham Rangarang Karyakram is on and all the people are getting their chance to entertain. The turns are beings decided on random. It is a colorful and fun event.,20 mins,16 Sep 2019
19,2820,Cultural Programme In The Society,"Kids perform on the occasion of Ganesh Chaturthi and Taarak tells everyone that the performance carried moral values about staying happy in life. Jethalal, Bhide and Sodhi in the meantime recollect their old memories.",20 mins,17 Sep 2019
