,episode_number,Episode_title,description,Episode_runtime,Released_on
0,1301,Baldev Accepts The Marriage,"Finally, Baldev accepts the newly married couple. Baldev announces that he will get them married in a grand way as he had wished for. Gokuldham gets excited about Popatlal's second marriage. Daya decides to celebrate the Sangeet ceremony immediately.",18 mins,29 Mar 2020
1,1302,Bulbul's Shocking Revelation,Bulbul reveals to Popatlal that she loves someone else. Popatlal is shattered and sits down in despair. She apologizes to him.,22 mins,30 Mar 2020
2,1303,Heartbroken Popatlal,Popatlal requests everyone to postpone the marriage dates. Baldev asks Popatlal why he is worried. He warns Popatlal that he better takes care of his daughter. Baldev is impressed with him.,20 mins,30 Mar 2020
3,1304,Popatlal's Marriage Preparation,"Everyone is excited about Popatlals marriage. They discuss the rituals and what happens after marriage. Bhide, Sodhi, and Iyer think of arranging a horse on which Popatlal will be arriving. Jetha is in charge of the flowers and decoration.",20 mins,30 Mar 2020
4,1305,Worrisome Popatlal,Popatlal worries if Rahul would have taken the flight. Everyone gathers at Popatlal's house and discuss their marriage stories. He tries calling up Rahul but in vain. He decides to call Bulbul to know the updates.,21 mins,30 Mar 2020
5,1306,Arrival Of Wedding Day,Gokuldham dances their hearts out in Popatlal's procession. Popatlal asks for Bulbul but Daya informs him that he won't get to see her until all the rituals are done. Bulbul decides to marry Popatlal as she knows how good and kind he is.,20 mins,30 Mar 2020
6,1307,The Exchange Of Groom,All the rituals take place and everyone is happy that Popatlal is getting married. The couple takes everyones blessings. Popatlal blesses the couple as well. Everyone is shocked to see Popatlal in casual. Popatlal reveals the truth.,22 mins,30 Mar 2020
7,1308,Popatlal's Revelation,Popatlal explains everyone about his master plan. He tells that he had to take Tapu Sena and Abduls help. Daya feels bad for him and praises him for being brave and kind enough to let go of Bulbul. Bulbul thanks Popatlal for helping her get married to the love of her life.,21 mins,30 Mar 2020
8,1309,Daya Misses Sunderlal,Daya hands over the herbal drink to Jetha and asks him to drink it as thats good for health. She misses Sunderlal and tells Jetha how he drinks all of these which is why his mind is sharp. Jetha suggests her to call him up. Sunders friends ask him about New Years party.,21 mins,30 Mar 2020
9,1310,Jethas Escape Plan,"Jetha gets to know that Sunder will be arriving soon so he plans to escape to his shop. Abdul keeps poking him which irritates Jetha and he pleads to let him go. Later, he is stopped by Sodhi to talk about an issue that annoys him.",21 mins,30 Mar 2020
10,1311,Sunderlal's Jalsa Idea,Tapu is excited as Sunder has planned a Jalsa for everyone. Daya asks Jetha to leave for the clubhouse as everyone would have reached already. Jetha calls Taarak up and tells him not leave until he comes as he has something to discuss about.,FULL_HD121 mins,30 Mar 2020
11,1312,Sunder's New Scheme,Jetha asks him about his plans. Sunderlal assures everyone that he will arrange it in a grand way that no one would have ever imagined. He takes a leave and tells them that he will go inform his friends and family in Ahmedabad about the celebration.,21 mins,30 Mar 2020
12,1313,Jethalal Messes Up,Nattu Kaka hands over the phone to Jetha and asks him to take the order. Jetha is worried and is thinking of Sunderlal so he shouts and the customer who was over the phone hears it and mistakes his words. Jetha apologises to him but he refuses to order.,21 mins,30 Mar 2020
13,1314,Tapu Sena Dances,Tapu Sena is all dressed up and dances as they are excited about the evening celebration. Tapu suggests Champaklal to wear something different to which he refuses. Gokuldham is amazed to see the unique decoration arranged by Sunder.,21 mins,30 Mar 2020
14,1315,Daya To Help Sunder,Daya assures Sunder that she will help him out. Daya asks everyone to join her in this as she won't be able to help him all alone. She suggests them to dance as the dancers haven't turned up. All except for Jetha agree with Daya.,21 mins,30 Mar 2020
15,1316,Police Stops The Jalsa,Pandey enters Gokuldham and asks them to stop the Jalsa party at once. He asks about the organiser but Sunder is nowhere to be found. Pandey threatens Jetha to put him behind bars. Gokuldham residents try to convince the police and Bhide puts forth the permission letter.,19 mins,30 Mar 2020
16,1317,Babita Looks For Iyer,"Babita is on the stage and is looking for Iyer. Iyer is busy looking for his costume. Meanwhile, Jethalal decides to dance with Babita. Taarak tells Jetha as how cunning Sunder is.",21 mins,30 Mar 2020
17,1318,Champaklal Dances With Tapu Sena,Gokuldham is all praises for Champaklals energy and dance style. Babita appreciates Sunderlals efforts. Sunder offers money to Bhide as he danced brilliantly but he refuses to take. He says he wants to contribute 10% of his profit to the society.,19 mins,30 Mar 2020
18,1319,Bhide Plans Against Jethalal,"Bhide waits for the right moment to teach Jetha a lesson. Jetha gets in conversation with Babita, Iyer and Popatlal. Bhide calls him irresponsible and he asks for the reason. He reminds him about the maintenance which he has not paid yet.",21 mins,30 Mar 2020
19,1320,Bagha Is In Trouble Again,Jetha finds Bagha standing in the middle of the road. He asks him the reason to which he responds that he has no idea how he is standing there. Jetha takes him to the shop before he decides to stand still again.,20 mins,30 Mar 2020
20,1321,Bhide Has A Complain,Bhide tells Champaklal that he asked about the maintenance to Jetha but he gave him a pressure cooker instead. He informs Daya that Bagha had come to deliver the pressure cooker. Daya clears the air that the pressure cooker was supposed to be delivered to Mauji.,20 mins,30 Mar 2020
21,1322,The Confusion Of Pressure Cooker,"Daya informs Jetha that he has given the pressure cooker along with the amount. Champaklal scolds him, Jetha tries to defend himself. Jetha requests Mauji not to reveal about the huge amount of money that he has given them.",21 mins,30 Mar 2020
22,1323,Haathi Examines Bagha,"Haathi examines Bagha and checks his eyes, but to his surprise, there was no sign of any disease. Haathi tells Komal that Bagha might be going through some kind of trauma for which his behavior is changed. Gokuldham, being impatient, asks Haathi about Bagha.",21 mins,30 Mar 2020
23,1324,Baawris Proposal,Bagha tells Daya about the Jalsa night and narrates about what had happened while they were returning back home. Baawri asks Bagha if she could walk him home. Baawri proposes Bagha and expresses her love for him.,21 mins,30 Mar 2020
24,1325,Bagha Is In Love,Jetha informs Nattu kaka about all the losses occurred due to Baghas carelessness.attu kaka is rather happy for Bagha and encourages him. Daya calls Jetha up and asks him to lend some money to Bagha as he would be expressing his love to Baawri.,21 mins,30 Mar 2020
25,1326,Baghas New Look,Mauji overhears Champaklals words and tells them that he has come to return the hefty amount. Baawri comes to Gada house and requests Bagha to come inside. Everyone is shocked to see the new look of Bagha.,19 mins,30 Mar 2020
26,1327,Daya Warns Jethalal,Daya tries waking up Jetha and warns him that Champaklal would be back anytime soon. Champaklal comes and asks for Jetha. Abdul gets the Ayurvedic oil for Chacha ji. Jetha complains about the food.,19 mins,30 Mar 2020
27,1328,Jethalals Resolution,Babita asks Jetha to keep his resolution and start exercising from the next day. Daya is shocked to hear this and reveals his days food plan. Jetha encourages Babita to help him with the yoga and exercises. Babita comes up with an idea to setup a fitness campaign.,20 mins,30 Mar 2020
28,1329,Popatlal Is Unhappy With The Decision,"Jetha calls up Babita and thanks her for the idea of setting up a fitness camp. Popatlal is not happy with the decision and asks Bhide to put this notice off the board. Upon hearing, Tapu Sena gets excited about the fitness camp.",21 mins,30 Mar 2020
29,1330,Popatlal Asks To Cancel,"Taarak worries as to how should he wake up early in the morning in this extremely cold weather. Popatlal asks to cancel things, to which everyone shouts at him in unison. Ladies of Gokuldham discuss the winter season. Babita asks the residents to be on time.",20 mins,30 Mar 2020
30,1331,The Fitness Camp,"Popatlal is adamant that the fitness camp is canceled. But the Gokuldham society members differ in opinion. The cold has taken a toll on the society members. When the fitness instructor arrives, everyone is left stunned.",20 mins,03 Jun 2020
31,1332,Sophia Performs Yoga,"The unforgettable work out session takes place in Gokuldham Society for the very first time as the entire colony members are busy doing different kind of exercises that is taught to them by fitness guru Sophia. Colony members are expressing their thought to Sophia. What does Madhvi, Bhide, Jethalal and Bapuji have to say about their work out experience?",20 mins,03 Jun 2020
32,1333,Tapu Sena Does Surya Namaskar,"Sophia reveals to all the members of Gokuldham society that members have to pay a fine worth Rs. 50,000 if they fail to attend the fitness camp on the second day. All are eagerly waiting for Anajalis surprise.",20 mins,03 Jun 2020
33,1334,Jethalals Master Plan To Relax,Each member of Gokuldham society suffers from severe body pain after the rigorous work out session that took place in the society by fitness guru Sophia. Jethalal comes up with an interesting plan to relax and also tells Natu Kaka to cancel Mr Chopras appointment. Will Jethalal succeed or get caught?,20 mins,03 Jun 2020
34,1335,Baaghas Unique Body Massage,Jethalal makes Natu Kaka cancel Mr Chopras appointment as he wanted to relax. Baagha comes up with an interesting solution to cure Jethalals body pain. Mr. Chopra makes a visit to Gada Electronics Shop and gets surprised to see Jethalal. Will Jethalal lose out on a big deal?,20 mins,03 Jun 2020
35,1336,Jethalal Suffers From Back Pain,"Babitas Friend and Fitness Guru Sophia once again makes all the members of Gokuldham society run in the colony. Later, Sophia teaches some stretching exercise to colony members but during the course, Jethalal suffers from severe lower back pain. Will Sophia be able to cure Jethalal?",21 mins,03 Jun 2020
36,1337,Jethalal Is Stuck With The Back Pain,Jethalal suffers from severe back pain and is stuck in a weird position. Dr. Haathi suggests everyone take him to his clinic so that he can have a proper look at Jethalals situation. Tapu Sena comes up with a unique idea of getting Jethalal to his required destination. But the plan hits a funny twist at the end.,20 mins,03 Jun 2020
37,1338,Tapu Saves His Father,All the members somehow manage to take Jethalal till Dr. Hatthis house but Jethalal faces another problem. Jethalal gets super scared of injection. How will Jethalal enter in Dr. Hatthis House?,19 mins,03 Jun 2020
38,1339,Jethalal Is Scared Of injections,"Jethalal is stuck in an awkward and painful body cramp while participating in the societys fitness camp. He initially refuses to take the injection that would cure him, but Taarak somehow tricks him into taking it. The injection, however, doesnt work either. Everyone in society is now very worried about Jethalal. Will his cramp be cured?",21 mins,03 Jun 2020
39,1340,Jethalal Wants To Get Kicked,Dayas Mother gives an unbelievable solution to her Daughter which will prove to be of great help to Jethalal. Jethalal insists Daya kick him hard but Daya strictly disagrees as she cant kick her Husband. Why is Jethalal shocked to see Chikoo? Will Chikoo cure Jethalal?,19 mins,03 Jun 2020
40,1341,Stay Fit Stay Happy,"The fear of getting kicked by Chikoo cures the back pain Jethalal was suffering from. He asks Babita Ji to call her friend and asks her to continue the health camp but everyone is still concerned about Jethalal, especially after the incident. Bhide, Iyer and Babita Ji gather at Jethalals house to discuss the continuation of the fitness camp.",20 mins,03 Jun 2020
41,1342,A New Security Guard,"Taarak and Jethalal were planning a day out together where they can enjoy the street foods, and get caught by their wives. To their surprise, Anjali and Daya had planned a special Tea break and snacks for them. The same night, Bhide comes out to of his office to find a Jimmy Shergil applying for the security guard job.",20 mins,03 Jun 2020
42,1343,Anjali Asks For A Surprise Gift,"After seeing Jethalals surprise gift for Daya, Anjali feels a little jealous and asks Taarak to be more like Jethalal. Meanwhile, Daya is surprised by Jethalals gift and starts blushing. Taarak calls Jethalal at midnight seeking for answers to his current situation.",20 mins,03 Jun 2020
43,1344,Deciding A Surprise Gift,"Taarak decides to call every husband in the Gokuldham society for a piece of advice on his adventure to find the perfect surprise gift. After failing miserably, he decides to call the person who was responsible for this mess. Even that turns out to be a complete dead end. Would Taarak be able to find the perfect surprise for his beloved wife?",20 mins,03 Jun 2020
44,1345,The New Saaree,Taarak seems to be in an enormous hurry. His suspicious wife rummages through his things and finds a beautiful new saree tucked away. She wears it and goes around the entire society discussing it with her friends. Hilarity ensues when a couple arrives claiming that the saree belonged to them.,18 mins,03 Jun 2020
45,1346,Taarak Solves The Problem,"Taarak comes home and finds himself to be in the middle of chaos. He tries to understand the situation and manages to get the best out of it. Anjali keeps all her gifts and in return, Taarak receives a delicious dinner.",21 mins,03 Jun 2020
46,1347,Dayas Suggestion To Jethalal,"Daya suggests Jethalal behave like his Son Tapu and Bapuji insists Jethalal to grow up as he caught him while Jethalal was fighting with Daya. Tapu, Goli and Gogi come across a new game which was being played on the street right outside their School. Will Tapu play?",19 mins,03 Jun 2020
