,episode_number,Episode_title,description,Episode_runtime,Released_on
0,3201,Gokuldham Waalo Ka Swaagat,Gokuldham members reach the resort reception and start checking themselves in. Popatlal plans to welcome them in a better way.,20 mins,02 Jul 2021
1,3202,Party Bag Goes Missing,Jethalal finally gets to meet K.K. but faces issues in communication as he wants to converse in English. Sodhi and Iyer panic as they can't find the bag with party goods in it.,20 mins,05 Jul 2021
2,3203,Walk Around The Resort,The gents of Gokuldham seek the manager's help in looking for Sodhi's missing bag. Everyone decides to take a walk around the resort together.,21 mins,06 Jul 2021
3,3204,Roaming The Resort,Gokuldham members find a mango tree from which they pluck a few mangoes. They later discover the swimming pool area and are amazed by the ambiance.,21 mins,07 Jul 2021
4,3205,Kadha For Everyone,Jethalal comes back from his meeting with KK. He tries to give Taarak Mehta a bottle of concoction.,21 mins,08 Jul 2021
5,3206,Taarak Books A Hall,"Taarak Mehta meets the manager of the resort to book a hall. Later, everyone gathers at the hall for a Gokuldham style function.",21 mins,09 Jul 2021
6,3207,Sammaan Samaroh,All members of the Gokuldham Society gather at the hall. Bhide reveals to Jethalal and Popatlal the reason for their gathering.,20 mins,12 Jul 2021
7,3208,Narrating The Mission,"Dr Hathi, Jethalal and Popatlal narrate the details of Mission Kala Kauwa to all Gokuldham members.",21 mins,13 Jul 2021
8,3209,Kala Kauwa Trophy,Jethalal continues to narrate every detail about their mission to everyone. Gokuldham members show their appreciation for Popatlal's efforts by giving him a trophy.,22 mins,14 Jul 2021
9,3210,Party Sharty Ka Jugaad,All gents of the Gokuldham Society meet to discuss the party. They ask Popatlal to use his contacts for managing the party.,22 mins,15 Jul 2021
10,3211,Gokuldham Dinner,Tapu Sena enjoys a game of pool in the play area. Everyone decides to meet up for a Gokuldham style dinner at the resort.,21 mins,16 Jul 2021
11,3212,Party Sharty Start,Everyone gathers at the hall to enjoy a lavish dinner at the resort.,21 mins,19 Jul 2021
12,3213,Bagha Loses Control,Bagha gets drunk and wants to keep dancing. Everyone tries to stop him and take him to his room.,21 mins,20 Jul 2021
13,3214,Catching Bagha,Everyone tries different strategies to get Bagha to calm down and go back to his room. Bapuji finds out that Bagha is missing and gets furious.,21 mins,21 Jul 2021
14,3215,Bagha Ke Liye Goli,Bapuji catches Bagha and scolds him for his behaviour. The resort's manager gets medicine to help Bagha come back to his senses.,21 mins,22 Jul 2021
15,3216,Bapuji Finds The Bottle,Bapuji has a severe case of hiccups and decides to consume some 'kadha.' How will he react when he finds out the original contents of the bottle.,22 mins,23 Jul 2021
16,3217,Bapuji Makes Everyone Dance,Bapuji punishes all the men of the Gokuldham Society for lying about the bottle. All the men later apologise for their plan to party.,21 mins,26 Jul 2021
17,3218,Joshile Vs Mastane,Everyone is happy that they broke out of their regular lockdown routine to visit the resort. Jethalal and Taarak get into separate teams and play a game in the swimming pool.,22 mins,27 Jul 2021
18,3219,Gokuldham Boat Race,"Everyone relaxes in the swimming pool area of the resort. Later, everyone gathers at the lake and divide into teams to compete in a boat race.",23 mins,28 Jul 2021
19,3220,Check Out From Resort,"Everyone goes back to their rooms to rest after the boat race. The next morning, the Gokuldham members start checking out from the resort.",22 mins,29 Jul 2021
20,3221,Leaving The Resort,Jethalal arrives late at the lobby for his check out. The owner of the resort sends a present to everyone for helping the resort.,22 mins,30 Jul 2021
21,3222,Remembering The Trip,Anjali makes delicious dinner for Taarak as all the colony members meet at Mehta's residence and re-live their resort memories.,21 mins,02 Aug 2021
22,3223,Right To Party,The men of the society sit around and remember the trip. They talk about the party incident and come to a conclusion that it is their right to party occasionally.,22 mins,03 Aug 2021
23,3224,Remembering Dilip Kumar,"The colony members get nostalgic and remember one of the icons of Indian cinema, Dilip Kumar. They cherish his memories by singing his songs.",22 mins,04 Aug 2021
24,3225,A Healthy Diet,Everyone gets back to their daily routine and life goes back to normal in Gokuldham. Taarak gets to know that Anjali has plans for him and will only give him healthy food to eat.,21 mins,05 Aug 2021
25,3226,Missing Glasses,"Bapuji's glasses go missing and they are nowhere to be found. Where could his glasses be? Meanwhile, Taarak gets late for office.",21 mins,06 Aug 2021
26,3227,Late For Work,"Mr Mehta is running late for work, and there seems to be no available mode of travel for him. Jethalal, as usual, is running late, and Bhide is going in the opposite direction. How does Mr Mehta get to work in time?",22 mins,09 Aug 2021
27,3228,The Empty Warehouse,"Jethalal gets the shock of his life when he reaches his warehouse and finds that it is empty. He panics and calls Bagha but, he too is of no help. Jethalal decides to call Mr Mehta for help, who is in a tricky situation with his boss for coming late.",22 mins,10 Aug 2021
28,3229,Saving Taarak,"To get Mr.Mehta a day off from work, Jethalal calls Mr.Mehta's boss and pretends to be Anjali, who has fallen sick all of a sudden.",21 mins,11 Aug 2021
29,3230,Magan Saves The Day,Jethalal and the society members celebrate the fact that the electronic stock was saved and nothing was stolen. Mr Mehta gets furious that because of Jethalal's misunderstanding he had to take a day off from work.,20 mins,12 Aug 2021
30,3231,Taarak Gets Caught,Mr. Mehta's boss finds out that he lied and took a day off from work. He confronts him in the restaurant. Is Mr. Mehta's job in danger?,21 mins,13 Aug 2021
31,3232,Taarak Ke Bahane,Taarak reaches home to discover that his wife is going to her friend's place. He is worried that he will have to lie to everyone who question him.,22 mins,16 Aug 2021
32,3233,Jalebi Ke Sapne,Bapuji reminisces about his younger days with Tapu. Jethalal asks Baupuji to accompany him for a special breakfast.,22 mins,17 Aug 2021
33,3234,Jalebi Ka Order,Jethalal asks Taarak to accompany him for a plate of 'Jalebi' and 'Fafda.' Bapuji does not allow Taarak to eat the 'Jalebi' that Tapu orders online.,22 mins,18 Aug 2021
34,3235,Gokuldham Vaccination Drive,Dr Hathi reveals that he will be conducting a vaccination drive and helping everyone in the society to get their shots. Taarak and Jethalal get into a fight when Jethalal declares that he doesn't want to get vaccinated.,21 mins,19 Aug 2021
35,3236,Publicity Plans,Bhide informs everyone that Popatlal will publish an article about the vaccination drive. Tapu Sena seeks the help of Ritu for advertising their new song.,20 mins,20 Aug 2021
36,3237,The Sena's Vaccination Song,Jethalal and Taarak get into another quarrel as Jethalal has a new excuse for not taking the vaccine. Tapu Sena performs the vaccination song that they have been preparing with Taarak.,21 mins,23 Aug 2021
37,3238,Convincing To Take A Shot,Bhide and Dr. Hathi are excited to make all the arrangements and start with their vaccination drive. Bhide finds out that Sodhi does not want to take the vaccination either.,22 mins,24 Aug 2021
