,episode_number,Episode_title,description,Episode_runtime,Released_on
0,2001,Gokuldham Society Plans For Independence Day,The members of the Gokuldham society decide on a theme for Independence Day celebrations. Tapu Sena decide on a surprise Independence Day celebrations for the Gokuldham residents. Tune in to join the Independence Day Celebrations at Gokuldham.,19 mins,12 Aug 2016
1,2002,Gaane Ki Azaadi,The Independence Day celebrations begin by hoisting the Indian Flag at the society compound. Tapu Sena asks the residents to assemble at the club house for a surprise. Watch the episode to know what is Tapu Sena's surprise.,19 mins,15 Aug 2016
2,2003,Independence Day In Gokuldham,Gogi starts throwing the ball and one by one the couples of the Gokuldham society start singing patriotic songs. Jethalal is tensed because he is running out of song options to sing.,21 mins,16 Aug 2016
3,2004,Special Brothers,All women of Gokuldham society gather to plan for the day of Raksha Bandhan. Daya requests Jethalal to send a gift-hamper to the army soldiers who are at the borderThe ladies of the Gokuldham society prepare gift hampers for Raksha Bandhan. They wish to send these hampers to their brothers who are very special to them. Jethalal plans on organizing an event.,20 mins,17 Aug 2016
4,2005,Sundar Ka Taufa,"Sundar comes to Gada house, Daya ties Rakhi to him, Sundar brings gifts for everyone. The residents of the Gokuldham society along with Bawri, Natu Kaka and Bagha celebrate Raksha Bandhan with a lot of exuberance.",18 mins,18 Aug 2016
5,2006,Raksha Bandhan With Soldiers,Surbhi brings her daughter Khushi to Jethalal’s house to celebrate Raksha Bandhan. Khushi ties Rakhis to all the members of Tapu Sena. Sodhi takes the ladies and Sonu to tie Rakhis to BSF and Army Soldiers.,21 mins,19 Aug 2016
6,2007,Jethalal Ka Promise,"Daya returns from her kitty party and asks Jethalal to get 'gajra' for her while coming home from the shop to test his love for her. Jethalal forgets to get the 'gajra', Daya gets upset with him.",20 mins,22 Aug 2016
7,2008,Taarak ki Samasya,The Gokuldham ladies read about a jewelry exhibition and decide to go there. They go to the Gada House to inform Daya about the exhibition and find out that the exhibition is held by Jethalal’s friend Hiralal Zaveri. Jethalal calls him and manages to get VIP entry passes for the Gokudham residents.,20 mins,23 Aug 2016
8,2009,Gokuldham Society Visits Jewelry Exhibition,"All the gents of the Gokuldham society are tensed to see the enthusiasm of the ladies for the jewelry exhibition. Gokuldham residents reach the exhibition hall, they all are mesmerized to see the jewelries on display.",20 mins,24 Aug 2016
9,2010,Hiralal Ka Jewelry Exhibition,The Gokuldam residents are excited to be at the exhibition. Jethalal introduces all the residents of the Gokuldham society to Hiralal and his wife. Everyone is surprised to see a diamond studded saree worth Rs.10 crore.,20 mins,25 Aug 2016
10,2011,Daya Wants Diamond Studded Saree,"The ladies leave the exhibition reluctantly after seeing the diamond studded saree. All the ladies can only think about wearing that saree. Daya requests Jethalal to get the saree so she can wear it once, he refuses, but Daya is persistant. What will he do now?",20 mins,26 Aug 2016
11,2012,Jethalal Ki Duvidha,"Jethalal promises Daya that he will get the saree to Gokuldham for sometime, all the ladies are exhilarated to hear this. Jethalal calls Hiralal to request him for the saree but Hiralal refuses. Jethalal is tensed because he will not be able to keep his word and all the ladies will be heart broken.",20 mins,29 Aug 2016
12,2013,Taarak Ka Idea,Jethalal couldn't tell Daya the truth that he will not be able to get the saree seeing her enthusiasm. Taarak suggests him to get a duplicate saree. They go to the exhibition to get the pictures of the original saree. How will they manage to click pictures in such high security?,19 mins,30 Aug 2016
13,2014,Jethalal Ki Tarkeeb,Jethalal and Taarak manage to click the pictures of the original saree. Jethalal informs Daya that he will get the saree for an hour tomorrow. All the ladies praise Jethalal and their husbands get jealous.,19 mins,31 Aug 2016
14,2015,Jethalal Brings The Saree,All the men scold Jethalal at the soda shop for getting the saree. All the ladies are excited to wear the saree the next day. Taarak and Jethalal are on their way to get the saree. Will everything go as planned?,21 mins,01 Sep 2016
15,2016,Daya Wears Diamond Studded Saree,"Jethalal informs Daya that he is getting the saree, all the ladies are excited and can't wait to wear it. One by one all the ladies wear the saree. Watch the episode to witness how beautiful they look wearing the saree.",20 mins,02 Sep 2016
16,2017,Chori Ki Saree,All the ladies are happy and thank Jethalal for the saree. Iyer and Babita get to know that the saree has been stolen from the exhibition and they blame Jethalal. How will Jethalal and Taarak come out of this situation?,20 mins,05 Sep 2016
17,2018,Goons Attack Jethalal and Taarak,Two thieves steal the saree from Taarak and Jethalal. Hiralal goes to the police station to report about the stolen saree. The men of the Gokuldham society also arrive there to report about the duplicate saree. Tune in to witness all the confusion.,18 mins,06 Sep 2016
18,2019,Champaklal Files Police Complaint,"Hiralal tells Chalu Pandey that he never gave the saree to Jethalal and blames him for the theft, Chalu Pandey also concludes that Taarak and Jethalal have stolen the saree after seeing the CCTV footage where they are sneakingly taking pictures of the saree. How will they prove their innocence?",20 mins,07 Sep 2016
19,2020,Jethalal In Police Station,Jethalal and Taarak confess that the saree that they got was fake but Hiralal blames Jethalal for stealing the saree. Inspector Chalu Pandey puts Taarak and Jethalal into the lockup because they couldn't provide enough evidence proving their innocence.,20 mins,08 Sep 2016
20,2021,Police Arrests Jethalal and Taarak,Daya informs Natu Kaka and Bagha about Jethalal’s arrest. Natu Kaka and Bagha rush to the police station with the hard drive that contains the recordings of the exhibition security cameras. Hiralal and the Police check the CCTV footage and are shocked to discover the truth.,19 mins,09 Sep 2016
21,2022,Ganesh Utsav In Gokuldham Society,The security guards are interrogated and they confess that they were ordered by someone to steal the saree. Hiralal apologizes to Jethalal. Tapu Sena is worried about the arrangements for Ganesh Chaturthi since they are going to a nature camp.,40 mins,10 Sep 2016
22,2023,Bhide Requires Volunteers For Ganesha Utsav,Bhide calls a meeting to communicate his concern about the arrangements for Ganesh Chaturthi since Tapu Sena isn't available this time. All the ladies take the responsibility for making the arrangements. Will they be able to live up to the standards set by Tapu Sena?,21 mins,12 Sep 2016
23,2024,Secret Theme For Ganesha Utsav,The ladies distribute the responsibilities amongst themselves to make the arrangements for Ganesh Utsav in Gokuldham. The men are eager to know about the surprises and the decoration theme of the event. The ladies give Ganapati Bappa a grand welcome into the society.,20 mins,13 Sep 2016
24,2025,Innovative Ganesh Pandal,"The men of the society see the decorations and are disappointed with the ladies for simply placing blank LED screens behind the Ganpati Idol. After the prayers, Bhide asks about the evening cultural program and the ladies ask the men to assemble at the club house at 9pm sharp for the surprise event. Tune in to discover all the surprises.",20 mins,14 Sep 2016
25,2026,Gokuldham Society Celebrates Ganesha Utsav,All the men try to lure their wives into revealing the surprise but they refuse. All the members of the Gokuldham society and the ladies inform them about a game that they are going to play. Watch the episode to know that rules of the game.,19 mins,15 Sep 2016
26,2027,Funny Performances,Babita and Komal have organized a contest where the participants would be chosen in pairs randomly from the bowl of chits and the chosen pair would have to perform a task given by the person choosing the chit. Tune in to join this fun game.,20 mins,16 Sep 2016
27,2028,Champaklal Ka Classical Dance,"One by one members of the Gokuldham society are challenged to perform tasks. Everyone is nervous because if they fail to perform the task, they will receive a punishment and the punishment is also a surprise.",19 mins,19 Sep 2016
28,2029,Puppet Dance,"Daya and Madhavi are asked to dance with a unique twist, Taarak and Anjali recite poems about members of the Gokuldham society and their shortcomings. Jethalal is happy and sad at the same time because of the person he is paired with. Who is Jethalal paired with? Only one way to find out, keep watching.",20 mins,20 Sep 2016
29,2030,Champaklal Punishes Iyer And Jethalal,"Jethalal, Iyer & Babita have to perform an Adivasi dance. They start with their performance but Iyer and Jethalal goof up in between. Iyer and Jethalal are given a very tiring punishment. The Ganesh Utsav celebrations at Gokuldham come to an end after the prayers.",18 mins,21 Sep 2016
30,2031,Taarak Ki Kavita,"Taarak mentions to his friends about Mr. and Mrs. Sharma, a poet couple coming over to his house. The men insist on meeting Mr. Sharma who is known to taunt wives in his poetries. It is decided that while the men enjoy Mr. Sharma’s poetry session at Taarak's house, the women will enjoy Mrs. Sharma’s poetry session at Iyer's house.",20 mins,22 Sep 2016
31,2032,Kavi Sammelan,"Mr. and Mrs. Sharma arrive at Gokuldham society, Mr. Sharma meets the men at Taarak’s house while the ladies take Mrs. Sharma to Iyer’s house. The poetry sessions start at Taarak and Iyer's house. Watch the episode to enjoy this poetry session.",20 mins,23 Sep 2016
32,2033,Mr,"Mrs. Sharma discusses with the ladies about how husbands keep testing their wives. Mr. Sharma discusses with the men about how wives can’t keep a secret. Soon, the men of Gokuldham challenge Mr. Sharma that their wives can keep secrets and decide that each husband would lie to his wife about someone from the society.",20 mins,26 Sep 2016
33,2034,Mr,One by one all the men start lying to their wives about someone from the society and ask them to keep this a secret no matter what. Will the ladies pass the test or Mr. Sharma will win the bet?,18 mins,27 Sep 2016
34,2035,Patiyon Ka Top Secret,"Dr. Hathi, Bhide and Sodhi tell a secret to their wives and ask them to keep this a secret. Bagha comes to the Gokuldham society to install CCTV cameras in the club house.",20 mins,28 Sep 2016
35,2036,Arrangements For Patni Pariksha,"Bhide instructs Bagha on how to fit the CCTV cameras in the club house just before the ladies meeting begins. All the men gather at Popatlal's house to monitor the meeting. The ladies begin with their usual discussion at the meeting, will anyone of them reveal the secret?",20 mins,29 Sep 2016
36,2037,Mission Patni Pariksha,Madhavi reveals the secret about the society might go into redevelopment. One by one all the ladies reveal the secret and all the men loose the bet. The men leave for the club house to confront their wives.,20 mins,30 Sep 2016
37,2038,Husbands Confront Their Wives,All the husbands reach the club house to confront their wives. The ladies are shocked to hear about the bet between their husbands and Mr. Sharma and a heated argument takes place between the ladies and their husbands. Champaklal arrives at the club house amidst the chaos.,19 mins,03 Oct 2016
38,2039,Navratri Ki Tayyari,Daya is excited about Navratri. She teaches all the ladies unique Garba dance steps at the club house. Jethalal is annoyed to see Bawri at the shop.,21 mins,04 Oct 2016
39,2040,Gokuldham Society Gears Up For Navratri Celebrations,"All the ladies teach Garba dance steps to their husbands. All the men discuss about Navratri at the soda shop, just then Popatlal comes and tells them about the neighbouring playground that is being prepared for a Navratri event organized by ‘All-in-one’ Bhai who plans to use loud speakers. All the men get worried.",20 mins,05 Oct 2016
40,2041,Navratri Ki Tayyari,All-in-one' Bhai arrives at Gokuldham society and gives a letter to Madhavi and asks her to give it to Bhide. Bhide and Popatlal goes to the ground to meet 'All-in-one' bhai. Bhai goes to Gada electronics to buy speakers.,20 mins,06 Oct 2016
41,2042,'All-in-One' Bhai Threatens Bhide,Bhide receives 'All-in-One' bhai’s letter from Madhavi and realizes that it’s a threat stating that Gokuldham society will have to cancel their Navratri event or there will be consequences. The men of Gokuldham go to the ground to meet 'All-in-one' bhai.,19 mins,07 Feb 2016
