,episode_number,Episode_title,description,Episode_runtime,Released_on
0,1901,Jethalal's Fast,Taarak Mehta discloses that Jethalal will not eat anything till the time Champaklal talks to him and feeds him with his own hands. Will Jethalal and Champaklal eat together and reunite? Watch the episode to find out.,20 mins,28 Mar 2016
1,1902,Wrong Rail Tickets,"Champaklal is again furious with his son, Jethalal because he booked the wrong train tickets. On the other hand, Taarak and Anjali discuss the amazing life in Gokuldham and the sweet father-son relationship.",20 mins,29 Mar 2016
2,1903,Gogi's Dream College,"Tapu and his friends give surprise to Gogi by bringing him to his dream college, M.K Gandhi College. They give a tour of every part of the college and Gogi is astonished by the place. He seems to be extremely motivated to get his admission here.",20 mins,30 Mar 2016
3,1904,Gogi's Bad Dream,"Gogi is giving his final SSC exam. But he forgets all the answers to the questions. He gets anxious and starts screaming, suddenly he wakes up in fear, screaming, and makes his parents tense. Meanwhile, Bhide is making sure that there is no disturbance in the society and Gogi can study in peace.",20 mins,31 Mar 2016
4,1905,Gogi Ka Exam,"Gogi is preparing for his SSC exam. But due to the sudden appearance of some guest at his place, he is not able to study properly. Sodhi decided to send him to Bhide's place so that he can study in peace. Stay tuned to find out more.",21 mins,01 Apr 2016
5,1906,Gokuldham Residents Boost Gogi's Morale,"Gogi is worried about his exams and is trying his best to perform well. Jethalal and Daya visit Sodhi's house to boost Gogi's morale. Meanwhile, Daya said something which made Jethalal scared. What did Daya say?",39 mins,02 Apr 2016
6,1907,Gogi's Fear For Exams,"Tarak tells everyone that Gogi is not at fault and they all are wrong. Elsewhere, Gogi sits quietly in his room. But Champaklal tries to tell them that they are thinking wrong and Gogi should try keeping up to their expectations.",20 mins,04 Apr 2016
7,1908,Gogi's Confidence,"Bhide gets surprised at Madhavi's welcome and then she expresses her happiness. They discuss Gogi's situation and the tough system for kids. Elsewhere, Tarak tells Anjali about Gogi going to his exam with confidence.",19 mins,05 Apr 2016
8,1909,Happy Propose Day,"A little bee, which became a headache for Daya and Jethalal. Meanwhile, Iyer is planning a chain of surprises for his wife, Babita. He is going to celebrate Propose day in a totally different style. Watch the episode to find out more.",19 mins,06 Apr 2016
9,1910,Taarak's Diet Food,"In the morning, Taarak and Jethalal discuss over the issue of saving water and diet food. Meanwhile, a new car enters into the society, but no one knows whose car is it. Stay tuned to find out more.",20 mins,07 Apr 2016
10,1911,Iyer's Love Story,"Everyone is left in shock after spotting a decorated car inside Gokuldham Society. However, it is Iyer who unveiled the mystery behind the lovely decorated car and started narrating about his and Babita's love story.",21 mins,08 Apr 2016
11,1912,Mystery About Iyer And Babita's Marriage,Jethalal questions Iyer and Babita's marriage. He thinks that the two belong to two different communities and questions himself that how would have Iyer convinced Babita to marry him. Keep watching the show to find out the answer to their question.,20 mins,11 Apr 2016
12,1913,Babita's Childhood Friend,"After the joyful atmosphere of Propose Day, Babita gets a call from her childhood friend. Iyer tells her about an important presentation. Later on, Babita's friend, Maushami comes to visit her.",20 mins,12 Apr 2016
13,1914,Babita's Compromise,"After a day well spent, Babita and Iyer have to face the problem in their relationship. Iyer calls Babita for good luck wish. Meanwhile, Babita forgets to hang up her phone and Iyer gets to know the truth which he is unable to digest.",19 mins,13 Apr 2016
