,episode_number,Episode_title,description,Episode_runtime,Released_on
0,2601,Happy Children's Day,"Jethalal loses the keys to Gada electronics and Champaklal gets mad at him. They both try to find the keys in their house. Later Jethalal, Bhide, Mehta, Iyer & Babita, and Dr Hathi meet in the compound of the society and discuss how important it is to educate their children. Find out more by watching the episode.",19 mins,14 Nov 2018
1,2602,Bhide's Worry,"Bhide notices that Sameer, one of his students, hasn't been doing well in the exams. Bhide gets worried about Sameer's future and shares his worries with Madhavi. While going out of Gokuldham, Bhide, tensed about Sameer, nearly hits Champaklal with his scooter.",19 mins,15 Nov 2018
2,2603,The Ideal Teacher,"Bhide, who is worried about Sameer's future, decides to return the tuition fees to Sameer's parents. Going against Madhvi's advice, Bhide meets Sameer's parents and informs them about his inability to improve Sameer's marks. What will happen now? Only one way to find out.",19 mins,16 Nov 2018
3,2604,A Teacher's Advice,Bhide was worried about one of his student Sameer's marks dropping in the exams so he decides to ask Tapu and friends for advice. Bhide gives Sameer's parents the perfect solution which helps Sameer to improve his marks. Later Jethalal receives a business proposition which puts him in a dilemma.,16 mins,19 Nov 2018
4,2605,Risky Business,Taarak Mehta calls up Jethalal and learns that Jethalal is getting tired of running a business. Jethalal feels he should have found a 9 to 5 job as running a business comes with many risks. He lashes out at Bagha and Nattu Kaka after seeing the functioning of Gada Electronics. What is bothering Jethalal so much? Watch the episode to find out.,19 mins,20 Nov 2018
5,2606,Work Frustrations,"Jethalal returns from work, frustrated to the boiling point. All the men of Gokuldham society gather at Abdul's shop for their soda session and discuss their work frustrations. Later Jethalal discusses his work stress with Champaklal who tries to motivate him and console him.",19 mins,21 Nov 2018
6,2607,Selling The Business,"After their stressful soda session at Abdul's shop, Taarak is worried about Jethalal as he discusses it with Anjali. The next day Bhide finds out in a newspaper advertisement that Jethalal has put Gada electronics for sale. Stay tuned to find out what will happen next.",19 mins,22 Nov 2018
7,2608,Newspaper Ad,"Jethalal finds himself in yet another trouble. Tarak Mehta calls up Jethalal and asks him to meet him urgently. Before Taarak Mehta can reveal anything, Champaklal vents out his anger on Jethalal after he finds the ad for selling Gada Electronics, in a newspaper. Jethalal clams that he hasn't given the ad. If not Jethalal, then who?",19 mins,23 Nov 2018
8,2609,The Real Culprits,"Jethalal assures Champaklal that he hasn't given the ad in the newspaper. When Jethalal reaches Gada Electronics, he finds Nattu Kaka and Bagha celebrating. They both inform Jethalal that they were the ones who gave the ad in the newspaper. Why did Nattu Kaka and Bagha give the ad in the first place?",20 mins,26 Nov 2018
9,2610,The Flashbacks,"A worried Champaklal arrives at Gada Electronics. Then, Nattu Kaka and Bagha help Jethalal remember the moments when he had urged them to sell Gada Electronics. Jethalal, in moments of desperation, had indeed asked Nattu Kaka and Bagha to sell the shop. But, should it have prompted them to sell the shop without asking Jethalal?",20 mins,27 Nov 2018
10,2611,Nattu and Bagha's Explanation,"Jethalal and Champaklal, furious after seeing the advertisement about Gada Electronics being on sale, reach the showroom to eventually find out that it was Nattu Kaka and Bagha who put up the advertisement. Both of them then explain it to everyone why they put up the advertisement in the first place. Keep watching the show to hear their explanation.",20 mins,28 Nov 2018
11,2612,Bad Decisions,Two men come to Gada Electronics and ask Jethalal to leave the showroom space in a given time as someone else has bought the space after coming across the advertisement in the newspaper. Jethalal realises that the two men may use force to get him out of the space so he decides to talk to them politely and try to convince them otherwise. Keep watching to find out more.,20 mins,29 Nov 2018
12,2613,Surma Bhai,"Two men warn Jethalal to leave the place as someone else has purchased it. The person who has bought the place is none other than the infamous gangster, Surma Bhai. Popatlal tells everyone about Surma Bhai being a dangerous person, not to be messed with. Surma invites Jethalal to his farmhouse in the middle of the night to discuss this matter.",20 mins,30 Nov 2018
13,2614,Saving Gada Electronics,"Jethalal is in deep trouble with his shop. He decides to call up Taarak Mehta to find a solution to his problem but Taarak Mehta is out of the city. Meanwhile, Bhide arrives at Gokuldham society and a miffed Champaklal rushes into his house without uttering a word. How will Jethalal save Gada Electronics?",20 mins,03 Dec 2018
14,2615,Popatlal Has The Solution,"Jethalal reaches Gokuldham society and faces one question after the other about the sale of Gada Electronics. Then, Popatlal makes a heroic entry and informs Jethalal that he has found a solution for his problem. The Gokuldham society members are ecstatic to hear that Jethalal's problem has been solved. Find out more by watching the episode.",20 mins,04 Dec 2018
15,2616,Beware of Surma Bhai,"Popatlal has got the contact of Surma Bhai's sister, Kajal. Jethalal is overjoyed thinking that his problem is solved but after calling Kajal, Jethalal finds his problem is getting even more complicated. Finally, the deadline arrives and the Gokuldham society members get ready to pay a visit to Surma Bhai. Babita suggests that Jethalal should call the police. But, before Jethalal can call the cops, he receives a call from Surma Bhai's henchman.",19 mins,05 Dec 2018
16,2617,On The Way,"All the men decide to meet Surma Bhai and talk him out of buying Gada Electronics. So all of them leave to meet Surma Bhai at his farmhouse in Madh Island at the given time. Bhide, Jethalal and Taarak sit on Bhide's scooter and rest of them come with Sodhi in his jeep but they get separated on the way.",20 mins,06 Dec 2018
