,episode_number,Episode_title,description,Episode_runtime,Released_on
0,1501,Gokuldham Society's Celebrations,"As part of Bhide's surprise to the society members, he takes them all to Siddhivinayak for the puja. Later on, all of them go on a Mumbai darshan in an open bus. Everyone in Gokuldham is happy, and thank Bhide while they enjoy the ride. Back home, they all cut the cake and do Garba. Join the celebration.",21 mins,27 May 2020
1,1502,Thanking Bhide For The Trip,All the members of Gokuldham Society express their gratitude towards Bhide for organizing an unforgettable trip. Bhide expresses his gratitude towards Madhvi.,20 mins,27 May 2020
2,1503,Jethalal Loses The Key,All the members of Gokuldham Society are searching for Jethalal's Key. Iyer comes up with an idea. Will Iyer's idea work?,18 mins,27 May 2020
3,1504,Breaking The Door,Bapuji gets irritated with Jethalal as he lost the key and also gives him an ultimatum to find the key or find the locksmith who can either open or break the door. All efforts have gone in vain. Will Jethalal succeed in finding the key?,20 mins,27 May 2020
4,1505,Finding The Key,"Jethalal Keeps on searching for the key around Gokuldham Society. Meanwhile, Chacha Ji gets worried about Jethalal. Police find them lingering around because of a key, so they send them back to the society.",19 mins,27 May 2020
5,1506,Celebrating The Joyful Moment,"Everyone in the society is chanting to find the key. Taarak, Bhide, and Jethalal enter the society in search of the key and are quite upset. Tapu finds the key in his pocket and everyone joyfully celebrates the moment.",20 mins,27 May 2020
6,1507,Newspapers Exchange,"Early morning Bapuji gets a Bengali newspaper, and it ends up being Babita Ji's newspaper. Jethalal gets excited to go to her house to exchange the papers, but Iyer comes home to return the paper first.",20 mins,27 May 2020
7,1508,Bagha and Bawri's Mistake,"Bagha and Bawri get special sweets to feed the cow, and mistakenly the Sweetbox gets exchanged and remains in Gada Electronics. Jethalal comes and eats a couple of sweets. When Bagha and Bawri explain this to Jethalal, he gets really angry.",19 mins,27 May 2020
8,1509,Surprise For Bapuji,"All the Women from Gokuldham society gather and practice Garba for Navratri. Jethalal calls Daya saying there's a surprise for Bapuji, and Bapuji accidentally hears them talking and gets curious.",20 mins,27 May 2020
9,1510,Bapuji's Plan,Jethalal gets to know that Bapuji knew about the surprise. Jethalal makes another plan and makes sure it's a secret. Bapuji makes Tapu asks about the surprise. Will Babuji be able to figure out Jethalal's surprise?,20 mins,27 May 2020
10,1511,Bapuji Gets Worried,"Bhide is helping Jethalal to Surprise Bapuji. Meanwhile,  Bapuji waits all night to know the surprise. Watch the episode to find out what the surprise is.",20 mins,27 May 2020
11,1512,The Big Surprise,100s of cyclists arrive in Gokuldham society who goes to Temple every year by cycling. This time they will start their journey with a green flag by Bapuji. Everyone in the society gets happy and excited.,20 mins,27 May 2020
12,1513,Discussing About The Competition,"Bapuji gets happy with the surprise and gives ancestors belonging. Jethalal and the family members get really happy, Later all women gather to discuss the yearly competition.",19 mins,27 May 2020
13,1514,Navratri Celebrations,Bhide and Tapu Sena get the tattoo artists to Gokuldham society for the Navratri celebration. Everyone starts the preparations for Navratri.,20 mins,27 May 2020
