,episode_number,Episode_title,description,Episode_runtime,Released_on
0,3501,Bittu Kaun Hai?,Everyone discusses what should be an appropriate thought for the day. A mysterious boy enters the Gokuldham Society and claims to know Sodhi. Who could it be?,21 mins,04 Jul 2022
1,3502,Bittu Ki Mushkilein,Sodhi raises his concerns about Bittu's suspicious behaviour. Bittu opens up about the troubles he is facing at school and home. How will Sodhi deal with the situation?,21 mins,05 Jul 2022
2,3503,Bittu Ki Zimmedari,Bittu threatens to run away if he gets forced to continue studying. He later helps Sodhi at his garage. Has Bittu found his passion?,22 mins,06 Jul 2022
3,3504,Bittu's Day Out,"Nattu Kaka comes up with a marketing plan to increase sales for Gada electronics. Meanwhile, Sodhi takes Tapu Sena and Bittu to a mall.",21 mins,07 Jul 2022
4,3505,Bittu Ka Future,"Due to the rains, Bhide shifts the soda meeting to the clubhouse. Bhide convinces everyone to take responsibility for helping Bittu. Will they succeed?",22 mins,08 Jul 2022
5,3506,Bittu Ki Counselling,"After Bittu runs away, Sodhi takes Goli's help to track and find him. Everyone sits with Bittu and tries to counsel him. Will he understand what the grown-ups have to say?",22 mins,09 Jul 2022
6,3507,Kya Bittu Ko Ayegi Samajh?,The colony members are worried about Bittu running away due to his hatred towards studying. Will Bittu be found and will he finally realise the importance of education?,21 mins,11 Jul 2022
7,3508,Bittu Ko Aayi Samajh,"Bittu finally realises his mistakes and agrees to concentrate on his studies. Meanwhile, his parents come and are shocked to see the difference in their son.",18 mins,12 Jul 2022
8,3509,Popatlal Ke Gehne,The society members struggle to keep up with the rising cost of living in the city. Popatlal receives a call from the bank asking him to clear his locker and take his belongings before the branch shuts down.,21 mins,13 Jul 2022
9,3510,Locker Ki Talaash,Popatlal lives a paranoid life because of not having a locker for his jewellery. Can the Gokuldham residents find him a locker?,21 mins,14 Jul 2022
10,3511,Popatlal's Paranoia,Popatlal spends sleepless nights in his house thinking about his jewellery's safety. He finally comes to the conclusion that he must keep the box in one of his neighbour's houses.,21 mins,15 Jul 2022
11,3512,Sirf Ek Zimmedar Aadmi,"Popatlal decides to keep the jewellery box at Bhide's house. However, Bhide later finds out that Popatlal is going out of town. Will Bhide be able to keep the jewellery safe?",20 mins,16 Jul 2022
12,3513,Popatlal Ki Amanat,Bhide gets paranoid after getting Popatlal's jewellery and desperately looks for someone else to pass on the responsibility. Who will he find?,21 mins,18 Jul 2022
13,3514,Popatlal Ke Zewar Hue Idhar Se Udhar,Jethalal tries to pass on the responsibility of the jewellery by giving the box to Babita. Will Popatlal's jewellery get mishandled?,22 mins,19 Jul 2022
14,3515,Gehno Ki Zimmedari Kaun Le?,"Babita passes on the responsibility of the jewellery to Anjali, as she and Iyer have to go somewhere. Will Anjali keep the box or will the exchange of hands continue?",20 mins,20 Jul 2022
15,3516,Kya Sodhi Sambhaal Payega Zewar?,"Popatlal's jewellery ends up at Sodhi's house. However, due to an emergency, Sodhi has to rush to his garage. Will the box be safe at Sodhi's house?",21 mins,21 Jul 2022
16,3517,Popatlal Asks For His Amanat,Popatlal returns after finishing his work and thanks Bhide for keeping his jewellery safely. How will he react when he finds out the truth?,21 mins,22 Jul 2022
17,3518,Getting The Box Back,Everyone tries to get Popatlal's box back from the person they gave it to. Jethalal begins to get a bad feeling about the jewellery box. Will his fears come true?,20 mins,23 Jul 2022
18,3519,Popatlal Ka Dabba Gayab,Sodhi and his wife realise that they have messed up and given away the box of jewellery to Abdul without informing him what's in it. Can the Sodhis recover the box?,20 mins,25 Jul 2022
19,3520,Society Mein Tension,All the residents of Gokuldham society panic as they start blaming each other for the missing Jewellery box. Can they manage to find the box and return it to Popatlal?,21 mins,26 Jul 2022
20,3521,Popatlal Ka Darr,"Bhide panics at the thought of Popatlal finding out that he has lost his jewellery box, but the society members reassure him that they all will take responsibility for the mistake. Will they find the jewellery or face Popatlal's wrath?",21 mins,27 Jul 2022
21,3522,Phas Gaya Bhide,Bhide and Jethalal make excuses in front of Popatlal to delay giving the box. Will Popatlal fall for their lies?,23 mins,28 Jul 2022
22,3523,Popatlal Ka Sona,The society members are shocked to see Popatlal with Sodhi's party sharty bag with the jewellery in it. How did Popatlal get his hands on it?,22 mins,29 Jul 2022
23,3524,Dabba Khali Hai,"After everyone finds the empty jewellery box, they call Bhide to ensure it contains jewellery. How will the members of Gokuldham find the jewellery?",22 mins,30 Jul 2022
24,3525,Tapu Sena Distracts Popatlal,Jethalal and Sodhi take Tapu Sena's help to distract Popatlal. The members of Gokuldham meet Inspector Pandey and tell him about the theft.,21 mins,01 Aug 2022
25,3526,Gehno Ke Saath Kho Kho,The members of Gokuldham Society give Inspector Pandey a list of suspects in the robbery. The police are quick to respond and round up the suspects. Will they find Popatlal's jewellery?,22 mins,02 Aug 2022
26,3527,Sabke Ghar Ki Talashi,Inspector Pandey's investigation reveals that the suspects are not guilty of the theft. He insists on checking every household of the Gokuldham members. What will he find?,21 mins,03 Aug 2022
