,episode_number,Episode_title,description,Episode_runtime,Released_on
0,501,The Society Fund,Bhide conducts a meeting and informs everyone about the cost of the new paint quotation and tells them that the society doesn't have enough money in the fund to support the new paint job. What will happen now? Watch the full episode to find out.,19 mins,11 Feb 2020
1,502,Credit Card,"All the ladies go shopping with Babita and after coming home, Daya is mesmerized by the concept of a credit card. Babita tries explaining to all the ladies how a credit card works. Now all of them are pursuing their husbands for a credit card.",20 mins,11 Feb 2020
2,503,Kutkutiya,"After being rejected from one bank, Daya and the other housewives decide to get credit cards from Mr Kutkutiya. All of them are just too excited to finally get their credit cards. Stay tuned to find out more.",21 mins,11 Feb 2020
3,504,The Bill,"After the women get their credit cards, they go shopping. Everyone shops to their heart's content. However, things take a sour turn when they receive the bill. Stay tuned to find out what happened next.",16 mins,11 Feb 2020
4,505,The Bad People,"After the women refuse to pay the money, Kutkutiya threatens to send people to hurt their husbands and their kids. As soon as they enter the society compound and see their kids playing, they all get worried and take them all home. What will happen now? Only one way to find out.",18 mins,11 Feb 2020
5,506,Right On TIme,"Kutkutiya comes to Gokuldham along with his men and takes the children as hostages. However, the police arrives on time and arrests the bad guys. All society members finally take a huge sigh of relief. Stay tuned to find out more.",20 mins,11 Feb 2020
6,507,Jethalal Gets A New Helper,"Nattu Kaka has gone out of town and has left his nephew, Bagha to help out Jethalal at the shop. Jethalal later sends Bagha to collect payment from Lachhuram. Keep watching to find out more.",19 mins,11 Feb 2020
7,508,Lachhuram's Helplessness,"Lachhuram visits Jethalal's office and gives him buckets of paint, worth 2 lakh rupees. When enquired, Lacchuram tells him that he is helpless and has no other option to pay his debts. What is Jethalal going to do with all this paint? Watch the episode to find out.",17 mins,11 Feb 2020
8,509,Jethalal Convinces Everyone,"Jethalal wants to sell off all the paint buckets that he is stuck with. He tries talking to Bhide about it but he has already left the house. He decides to convince every society member he can see, to get the society buildings painted. Find out more by watching the episode.",20 mins,11 Feb 2020
9,510,The Confusion Of Identity,"Vishwajeet arrives at Gada Electronics but he only wants to buy 200 ml of paint. Jethalal gets furious and makes him leave the shop. Later, Jethalal goes to Taarak for advice regarding this paint problem.",21 mins,11 Feb 2020
