,episode_number,Episode_title,description,Episode_runtime,Released_on
0,1201,Champaklal On The Eiffel Tower,"Champaklal and Tappu search for each other in and around the Eiffel tower. Finally they reunite and everything is normal. Meanwhile, everyone in Gokuldham wait for Tappus call and they are so relieved when they learn that Champaklal is safe.",19 mins,28 Mar 2020
1,1202,Tapu Sena's Serious Matter,Tapu Sena reveals to Bhide that they need to have a serious discussion with him on the Independence Day celebrations in Gokuldham society. Bhide urgently calls for a meeting in the society and all the members come up with their interesting ideas. Who will do the flag hoisting on Independence Day?,20 mins,12 Aug 2013
2,1203,Tapus master plan for Independence Day,Tapu comes up with an interesting plan to decide who will do the flag hoisting on Independence Day. All the members of Gokuldham Society agree to Tapu's idea and also gear up for the competition. Tapu Sena disagrees to do the decoration as they also want to participate. Who will do the flag hoisting on Independence Day?,20 mins,13 Aug 2013
3,1204,Gokuldham Mein Desh Bhakti Ki Bhavna,All the members of Gokuldham society are extremely happy and excited for the singing competition. Colony members have become singers as they want to win this competition. So who will win this musical competition?,20 mins,14 Aug 2013
4,1205,Colony Members Express Their Love For India,All the members of Gokuldham society are expressing their love for the country by giving a musical tribute to all the soldiers of India. Who will win the competition?,19 mins,15 Aug 2013
5,1206,Flag Hoisting in Gokuldham society,All the members of Gokuldham society who have participated in the singing competition are eagerly waiting for the result. Bapuji assures that he will announce the winner after the flag hoisting day. Society members praise Natu Kaka and Baagha.,20 mins,16 Aug 2013
6,1207,Baghas idea for a Raksha Bandhan offer,"Nathu Kaka is incredibly touched by Babuji's gesture of allowing him to hoist the flag on Independence Day. Jethalal & the two, later ideate over a special offer for Raksha Bandhan, to which Bagha makes an interesting suggestion.",21 mins,19 Aug 2013
7,1208,Daya's Emotional Letter,Daya breaks down into tears as Sundar reveals to her that this Raksha Bandhan he will not be able to make it. Will Jethalal come up with an interesting plan to cheer up Daya?,20 mins,20 Aug 2013
8,1209,Daya leaves for Ahmadabad,"Bapuji gets extremely happy as he comes to know about Jethalal's Ahmedabad plan. Daya is super excited to meet her bother, Sundar Veera. Will Sundar come to know about Jethalal's plan?",18 mins,21 Aug 2013
9,1210,Sundars grand surprise on Raksha Bandhan Day,"Daya reaches Ahmedabad to tie Rakhi to her dear brother, Sundar and Sundar reaches Gokuldham Society to surprise Daya. Who will solve this massive confusion? Will Daya and Jethalal come to know about it?",20 mins,22 Aug 2013
10,1211,Daya ties Rakhi to Sundar on the bank of Sabarmati river,Daya and Sundar struggle hard to meet each other in Ahmedabad. Daya searches Sundar at Sabarmati river. Daya and Sundar celebrate Raksha Bandhan in Ahmedabad.,21 mins,23 Aug 2013
11,1212,Grand welcome of Daya and Jethalal in Rajvadu,Daya and Jethalal praise Sundar for organizing a double special welcome for them in Ahmedabad and also enjoy the delicious food in Manish Bhai's Rajvadu.,19 mins,26 Aug 2013
12,1213,Popat Shares His Grief,"All the men are at Abduls shop waiting for Jethalal as they discuss the upcoming festvals and how to go about them. Upon knowing Jetha isnt allowed to come, Popat throws a tantrum saying how he wishes even he had someone to throw tantrums at.",20 mins,30 Jun 2020
13,1214,Tapu Sena organizes Raas Leela in Gokuldham society,"Baagha, the super mechanic tries to solve Mr. Iyer's cell phone problem. Bapuji narrates Lord Krishna's story to Tapu Sena. Tapu Sena organizes Raasleela in Gokuldham society.",20 mins,28 Aug 2013
14,1215,Jetha Makes Fun Of Bhide,"Everyones enjoying the Navratri celebration, just when Bhide tells Mr. Haathi that due to the decorations he was reminded his old days, to which Jetha makes fun of him!",21 mins,30 Jun 2020
15,1216,Gokuldham Dahi Handi Utsav 2013,All the members of Gokuldham Society are eagerly waiting for Dahi Handi Utsav. Rita reporter covers the story. Who will be the lucky person to break the pot of Gokuldham Society. Join the celebration of Dahi Handi Utsav 2013.,20 mins,30 Aug 2013
16,1217,Gopal Gala Mandal accepts the challenge,Groups who are experts in breaking Dahi Handi in Janamashtami festival try their luck in breaking the pot of Gokuldham Society. Who will succeed in breaking Gokuldham Society's Dahi Handi?,20 mins,02 Sep 2013
17,1218,Lord Krishna Blesses Gokuldham Society,Gokuldham Society members get emotional as they realize that Lord Krishna celebrated Janamashtami festival with them. Bhide talks about the increasing crime rates in the city. Why is Jethalal getting scared?,20 mins,03 Sep 2013
18,1219,Jethalal Under Observation,Jethalal is being observed by an unknown person who has plans to loot Jethalal. Jethalal is carrying cash worth Rupees 1 lakh. Will Jethalal reach home safely?,20 mins,04 Sep 2013
19,1220,Jethalal's Worst Nightmare,Jethalal reveals to Taarak and Popatlal that an unknown person was following him since morning and clicking his pictures. Popatlal talks about the increase in the crime rates. Will Jethalal share his problem with Daya and Bapuji.,21 mins,05 Sep 2013
20,1221,Taarak and Jethalal become Detective,Jethalal and Taarak come up with an interesting plan to find out the unknown person who is clicking Jethalal's photographs. Will Taarak land in deep trouble?,20 mins,06 Sep 2013
21,1222,Ahmedabad ke Damaad,"Taarak Mehta & Jethalal are strolling about in the city of Ahmedabad, when a woman accuses Taarak of eve-teasing her. Will the two land themselves in jail?",20 mins,07 Sep 2013
22,1223,"Jethalal, Taarak and Chalu Pandey on a mission",Chalu Pandey gets a dose from the commissioner for not showing improvements in Jethalal's case. Goli shares the incident with Dr. Haathi and Tapu comes to know about it. Will Tapu Sena crack the code?,20 mins,09 Sep 2013
