,episode_number,Episode_title,description,Episode_runtime,Released_on
0,101,Daya Gave Away Jethalal's New Pants,"After seeing Jethalal get capital gains out of the charity work, the others also decide to work around a profit generating model for themselves. Champaklal is extremely pleased with the children and Abdul for helping him out with the donations. Meanwhile, Jethalal finds out that Daya gave away his new pants to charity. Will the others be successful in earning money through donations, like Jethalal?",19 mins,30 Aug 2008
1,102,Blanket Donation Fraud,"Everyone is furious over the blanket donation fraud. Champak Chacha discovers what the beggars actually require. Jethalal's wife kills his romantic mood, after which he goes to his shop to discover that his father has taken away cash which was earmarked for a client.",17 mins,30 Aug 2008
2,103,Champaklal Gets Arrested,"Jethalal tries to get back the money from his father which he refuses. Meanwhile, Champaklal gets arrested. Why does he get arrested? Has he committed a fraud? Find out in this episode full of confusion only on Sony Liv.",18 mins,30 Aug 2008
3,104,Police Abduct Bapuji,"There's a new thief in town at the Adarsh Nagar colony. The police abduct Bapuji mistaking him to be a most wanted criminal, Natwarlal. Meanwhile, Tapu reaches home and informs Jethalal and Daya about the same. Will Bapuji be rescued in time? Will Jethalal manage to rescue his father? Find out in this hilarious episode.",17 mins,30 Aug 2008
4,105,Champaklal In Jail,"Dr. Hathi finds out about Champaklal through the news and informs everyone. Everyone decides to go and get him back. Meanwhile, Jethalal's client comes to ask for the cash. Daya is worried about her husband and father-in-law. Will they be successful in getting Champaklal out of jail?",19 mins,30 Aug 2008
5,106,Real Thief Confesses His Crime,"Champaklal and the others get into a tiff with the news reporter at the police station, and later on the real thief comes and confesses his crime. Will Champaklal get out of jail now? Find out in this episode.",19 mins,30 Aug 2008
6,107,Maid becomes A Huge Trouble For Gokuldham Society Wives,The women of Gokuldham Society find themselves in a fix when they can't trace their maid Rukmani's whereabouts. Their daily work is interrupted when she doesn't come on time. She finally comes and gives a fair justification. Will it be fruitful? Find out in this episode.,19 mins,30 Aug 2008
7,108,Daya Asks Jethalal For Another Mobile Phone For Rukmani,Taarak Mehta is excited about his wife returning back from her home after two months. Everyone else in the society hears about this and gets excited too. Daya asks Jethalal for another mobile phone to give to Rukmani. Will Jethalal agree to Daya's request?,19 mins,30 Aug 2008
8,109,Rukmani Confesses Her Problems To Daya,Daya and the others try to figure out why Rukmani is upset and what could possibly be bothering her. Rukmani later confesses her problems and issues to leave the ladies upset as well. Will the ladies help solve Rukmani's problem?,17 mins,30 Aug 2008
9,110,Gokuldham Men Try Their Hand At Doing All Household Tasks,Everyone in the Gokuldham Co-operative Society starts complaining about not having Rukmani do all the chores. The men try their hand at doing all household tasks. How far they'll go in their pursuit? Will they fail or will they succeed? Watch this hilarious episode to find out.,18 mins,30 Aug 2008
10,111,Hunt For Maid Begins In Gokuldham,"Rukmani has left the job which has put everyone in Gokuldham society in huge trouble. The maid hunt is on. The women decide to place an advertisement on television. Even, the kids are a part of this hunt. They put the posters all around the colony. Will they find someone? Will she be as good as Rukmani?",18 mins,30 Aug 2008
11,112,A New Helper,"Gokuldham members stumble upon a man who is looking for a job and is ready to help them in their household. However, when Haathi tells him to start working, he tells them that he will join from tomorrow and he needs some money in advance. Is he a fraud? Watch this episode to find out.",19 mins,30 Jun 2020
12,113,A Good News,"Jetha goes to the shop to see that Nattu Kaka is not in the shop yet. When he asks another helper in the shop and the other one does not know either, he tells him to keep a tab on people in the shop. Daya calls him to tell him that there is good news and asks him to guess it. What is the good news?",19 mins,30 Jun 2020
13,114,Lovely Is Trying To Divide,"Lovely, society's new maid is trying to divide every woman of the Gokuldham society by provoking them against each other. Everyone realizes this and blasts Lovely. She calls the police. Everyone in the Gokuldham society defends themselves. Whom do the police arrest? Find out in this episode.",19 mins,30 Aug 2008
14,115,Crazy Toothpaste Is Making Gokuldham Go Crazy,"Crazy toothpaste is making everyone at the Gokuldham society go crazy. The free whistle with the product has made every kid in the society make noise all through the day. While trying to fiddle with it, Bhide swallows the whistle. What will happen to him?",18 mins,30 Aug 2008
15,116,Bhide Is Struggling With The Whistle Stuck In His Throat,Bhide is struggling with the whistle stuck in his throat. Mrs Bhide calls the throat specialist and takes an appointment. He is not ready for operation. There is a meeting happening on how to solve Bhide's problem. What solution will the residents of Gokuldham Society come up with for their secretary?,18 mins,30 Aug 2008
16,117,Daya's Trick Works On Bhide,The society members try different tricks on Bhide to solve his whistle problems. Daya comes running from behind and hits Bhide from behind. The trick actually works and Bhide's whistle comes out. Tapu fills up the water balloons and is hitting everyone in the society. Bhide comes and complains about Tapu to his father. Will Jethalal stop Tapu?,19 mins,30 Aug 2008
17,118,Bhide Doesn't Want The Society To Celebrate Holi,"Bhide wants society not to celebrate Holi as the kids have their exams approaching. Everyone mutually decides that there wouldn't be any Holi at their society, which leaves the kids disappointed. Daya's brother Sunder arrives from Gujarat. He promises the Gada family that he will make sure the society plays Holi. Will Sunder manage to do this?",19 mins,30 Aug 2008
18,119,Sunder Promises To Call Shahrukh Khan And Sachin Tendulkar,Jethalal challenges Sunder to call a cricketer or a film-star the next morning. He accepts the challenge. Gokuldham society celebrates the pre-holi ceremony. Everyone asks Sunder which star is he calling the next day. Sunder promises to call Shahrukh Khan and Sachin Tendulkar to their society. Will he be able to call them?,17 mins,30 Aug 2008
19,120,Sachin Tendulkar And Shahrukh Khan Arrive In Gokuldham,Everyone in the Gokuldham society is excited about Sachin Tendulkar and Shahrukh Khan coming to celebrate Holi with them. Their duplicates arrive at Gokuldham society. A TV journalist shows up and reveals that they are the duplicates. Society members are shattered. How will Sunder convince them now?,18 mins,30 Aug 2008
20,121,Gokuldham Society Celebrates Holi,"It is revealed in front of the society that Sachin and Shahrukh are duplicates. Everyone is annoyed at Sunder but Champaklal comes in and tells everyone that it is not Sunder's fault and tells everyone to not be selfish. Finally, its time to celebrate Holi. Everyone at the Gokuldham society is going crazy celebrating the festival.",18 mins,30 Aug 2008
21,122,Sunder's Friend Chhagan And Magan Are In Mumbai,"Sunder has sent rice and dal in huge quantities from Ahemdabad to Jethalal and Daya. Sunder calls Daya and tells her that his friends Chhagan and Magan are in Mumbai and they need Rs. 25,000. Magan drops in and Jethalal gives him Rs. 20,000. Is there trouble awaiting Jethalal?",19 mins,30 Aug 2008
22,123,"Jethalal Made A Mistake By Giving 20,000 to Magan","Sunder's friend Chhagan drops in. Jethalal gives him Rs. 5,000. He asks for 15 more. Jethalal realizes that he has made a mistake by giving 20,000 to Magan. Chagan has a flight to catch and he needs money urgently. How will Jethalal arrange for money?",18 mins,30 Aug 2008
23,124,Zoravar Comes With 3 Burly Looking Men To Jetha's House,"Jethalal fails to arrange money for Chagan and wife. They curse him as they will miss their flight and honeymoon. Champaklal agrees to give money to them. A man named Zoravar comes with 3 burly looking men to Jethalal's house. He is Chagan's wife, Chhabili's father. He is shocked to know they have gone to Goa. What will happen next?",17 mins,30 Aug 2008
24,125,Zoravar Is Taking Jethalal To Ahmedabad,"Zoravar is taking Jethalal to Ahmedabad with him. Suddenly, Chagan and his wife drop in the society. Chagan tells his father that Chhabili only pushed him to come to him and say sorry. Vinay Pathak is Tarak Mehta's friend and comes over. How do people in Gokuldham society react to this?",19 mins,30 Aug 2008
25,126,Tapu Tells His Father That He Won't Write His Exams,Tapu tells his father that he won't write his exams. Jetha blames Champaklal for Tapu's lack of discipline. Champaklal gets angry and promises to leave the house. Champaklal puts a condition that he won't go back if Tapu is ready to write his exams. Will he get ready? Find out in this episode.,19 mins,30 Aug 2008
26,127,Abdul Promises To Help Tapu  To Cheat In The Exams,"Everyone's life in the house revolves around Tapu's exams. Parents in the colony are getting ready for their children's exams. Abdul, the shopkeeper of the Gokuldham society promises to help Tapu cheat in the exams. Will Tapu cheat in the exam? Will anyone find out?",19 mins,30 Aug 2008
