,episode_number,Episode_title,description,Episode_runtime,Released_on
0,3401,Bhide Wants The Box,Sonu calls Tapu to inform him that her father is on his way to get the box in which Pom Pom resides. Everyone believes Abdul's lie that Gokuldham is now cat-free. What will Tapu Sena do when their lies are caught?,21 mins,09 Mar 2022
1,3402,Apshagun Kuch Nahi Hai,Popatlal shows his appreciation for Bhide's quick action to make the society cat-free. Abdul and Tapu Sena worry about their situation after lying to the members of Gokuldham.,21 mins,10 Mar 2022
2,3403,Chasing Pom Pom Around,"Tapu Sena frantically chases Pom Pom around Gokuldham Society. Pom Pom, who is in a playful mood, sneaks into one flat after another. Will it get caught?",20 mins,11 Mar 2022
3,3404,Billi Ne Dilaya Sodhi Ko Gussa,"Pom Pom enters Sodhi's house and breaks his bottles, and eats Roshan's cupcakes. He gets furious and confronts Bhide and Abdul about the cat. Will Tapu Sena's lies get caught?",22 mins,12 Mar 2022
4,3405,Billi Gokuldham Mein Hi Hai,Everyone gets shocked when Popatlal informs them that his guests will soon arrive. Tapu Sena finds out that Pom Pom has made its way to Popatlal's house through the terrace.,21 mins,14 Mar 2022
5,3406,Pom Pom In Popatlal's House,"With Popatlal out to find a bouquet for his guests, Pom Pom wreaks havoc in his house. Tapu Sena enlists Abdul's help to get into Popatlal's house to retrieve Pom Pom. Will they manage to hide Pom Pom before Popatlal returns?",20 mins,15 Mar 2022
6,3407,Ladkiwalo Ka Swagat,Popatlal asks Bhide to join him in welcoming his guests to the Gokuldham Society. Tapu Sena runs into multiple problems while looking for Pom Pom. Will Popatlal's meeting go smoothly?,21 mins,16 Mar 2022
7,3408,Rishta Nikla Haath Se,Popatlal's guests get furious when they spot Pom Pom and leave Gokuldham in anger. Popatlal feels betrayed and is out to get his revenge. Will Tapu Sena come forward with the truth?,21 mins,17 Mar 2022
8,3409,Tapu Sena Ki Billi,Tapu Sena tells everyone about how they adopted Pom Pom. Popatlal realises his anger is misdirected and expresses his gratitude to everyone for saving him from a superstitious family.,21 mins,18 Mar 2022
9,3410,Pom Pom Ka Parivar,"The Gokuldham family band together to find Pom Pom so they can welcome her to the society. However, they find Pom Pom with a group of other cats and decide to let them be together.",21 mins,19 Mar 2022
10,3411,Permission For Lonavala Trip,Sonu gets scared to ask her father for permission to visit Lonavala with Tapu Sena. The men of the Gouldham Society meet at Abdul's shop and talk about Tapu Sena's absence from the society.,22 mins,21 Mar 2022
11,3412,Bapuji Talks To Himself,The men of the Gokuldham Society sit at the soda shop and discuss their lives. Bhide and Madhavi spot Bapuji talking to himself on his balcony.,22 mins,22 Mar 2022
12,3413,Bapuji Ka Jigri,"Bapuji's childhood friend calls him out of the blue and invites him for a night out. Popatlal invites Jethalal, who will be alone, to his house for dinner.",22 mins,23 Mar 2022
13,3414,Busy Day At Gada Electronics,Bagha declines Babita's call on Jethalal's phone as he was preoccupied with a client call. Popatlal and Babita put Jethalal in a spot where he has to decide at whose house will he have dinner. Who will Jethalal choose?,21 mins,24 Mar 2022
14,3415,Bapuji Goes Out To Party,Jethalal comes home early to return Babita's mixer grinder and see Bapuji off. Jethalal and Popatlal enjoy a lavish feast together.,21 mins,25 Mar 2022
15,3416,A Walk To Matka Shop,Everyone takes an evening walk to visit a kulfi store after their dinner. Sodhi returns from his party and is desperate to tell Jethalal what he saw.,20 mins,26 Mar 2022
16,3417,Sodhi Ka Sachh,"After Sodhi tells everyone what he saw, Jethalal refuses to believe him. Sodhi narrates everything that happened and tries to convince them.",21 mins,28 Mar 2022
17,3418,No One Believes Sodhi,"When no one believes his story, Sodhi convinces everyone to sniff Bapuji to find out the truth. After finding no trace of alcohol from Bapuji, the members of the society force Sodhi to apologise.",21 mins,29 Mar 2022
18,3419,Party Sharty Ke Lakshan,Bapuji complains about a headache and acidity to Jethalal. All the men of Gokuldham Society gather at Jethalal's house to take care of Bapuji.,21 mins,30 Mar 2022
19,3420,Bapuji Gets Left Alone,Jethalal has to leave Bapuji alone as he has to visit Pune for a client meeting. Bapuji forces him to stay in Pune for the night. What could Bapuji be up to?,21 mins,31 Mar 2022
20,3421,Following Bapuji,"To prove he is right, Sodhi and Popatlal decide to follow Bapuji. After witnessing Bapuji's actions, Sodhi and Popatlal refuse to believe their eyes.",21 mins,01 Apr 2022
21,3422,Bapuji Doing Party Sharty,Sodhi and Popatlal follow Bapuji into a bar. They call everyone so that they can see the truth with their own eyes.,21 mins,02 Apr 2022
22,3423,Recording Bapuji's Actions,Sodhi and Popatlal tell everyone what they saw at the bar. They hide in the garden and record Bapuji entering the society in a drunken state.,20 mins,04 Apr 2022
23,3424,Proof Against Bapuji,The men of Gokuldham worry about how to break the news of Bapuji's night out to Jethalal. Jethalal returns from his meeting and suspects that all his friends are hiding something from him.,21 mins,05 Apr 2022
