,episode_number,Episode_title,description,Episode_runtime,Released_on
0,3001,Jethalal Outsmarts Anjali,Jethalal uses his wit and smart brain to ensure that his friend Taarak Mehta gets to enjoy the yummy fafdas in spite of Anjali's strict vigil. Mehta is overwhelmed and the scene is complete with masala chai. Catch this funny episode to know the whole story.,21 mins,25 Sep 2020
1,3002,Gokuldham Faces New Normal,"The people of Gokuldham are not at peace with the way things have become. They are finding it tough to be in tune with the new normal. No shops are open and everyone has to work from their home. Jetha and Sodhi are the most affected in this sad situation. All of them meet to discuss their everyday struggles in the light of changed times. Here, Dr. Haathi makes everyone aware of the threats and how crucial it is to take precaution.",21 mins,28 Sep 2020
2,3003,Abdul’s Essential Service,"Due to social distancing, the residents of Gokuldham are not able to move around the locality much. In these tough times, Abdul offers a helping hand. He continues serving them with the daily necessities they need. He is happy to serve them to the doorstep as their order amid the lockdown.",21 mins,29 Sep 2020
3,3004,Covid-19 In Gokuldham?,"Abdul, who helps everyone get the essential goods, suddenly falls sick. Dr. Haathi suspects that he might have contracted COVID 19 and hence examines him. The residents of Gokuldham are called for an urgent meeting which stresses everyone out. Has Abdul caught the infection?",19 mins,30 Sep 2020
4,3005,Gokuldham In Quarantine,"After Dr. Haathi confirms that Abdul has contracted the deadly disease, Covid-19, the residents, although very tensed, show great support to him by assuring him that they are with him in this crucial time. Further all residents go into quarantine by isolating themselves at home, Bhide takes additional initiative for the benefit of the society. Let’s pray that all is soon well at Gokuldham as we watch this episode.",21 mins,01 Oct 2020
5,3006,Abdul’s Covid-19 Fear,"Following self-isolation and home quarantine at Gokuldham society, the residents cooperate with the municipality workers who come to collect the samples and ensure sanitization of the compound. While everyone is joining hands to ensure the safety of the premises, Abdul deviates from the norms. What is Abdul upto? Will it cause any harm to the residents? Watch the episode to find out.",21 mins,02 Oct 2020
6,3007,Covid Test - Positive Or Negative?,"With the Covid - 19 infection sneaking into Gokuldham, the residents are being very cautious and are extending their full cooperation to the municipality workers for carrying out the various procedures pertaining to the infection control. Presently, everyone is awaiting their Covid-19 test results. Bhides and Roshans receive their reports. Let’s find out if they are safe or affected by the virus. Like all other times, in this crisis too, the residents are boosting each other’s morale.",19 mins,05 Oct 2020
7,3008,When Negative Is Positive,"After waiting in anticipation for the Covid-19 test reports, all residents of the Gokuldham society finally breathe easy knowing that none of them have tested positive. However, it is not the time to get too complacent. They continue to follow all Government norms and protocols to ensure that they do not contract the infection, while hoping for a better tomorrow.",20 mins,06 Oct 2020
8,3009,Revisiting Romance With S,"Cupid strikes in Gokuldham. To start with, Mr. Mehta in an attempt to write a romantic article gets cosy with Anjali and sings her a famous number of the legendary singer, Mr. S. P. Balasubrahmanyam. Mr. Iyer soon follows suit. Seeing Babita on the balcony, Jethalal too gets romantic and dedicates a song to her. Enjoy this love filled episode as the residents pay a loving tribute to Mr. S. P. Balasubrahmanyam, whose soul rests in the peace of heaven.",20 mins,07 Oct 2020
9,3010,In Musical Memory Of SP Balasubrahmanyam,"Gokuldham remembers and pays tribute to the musical maestro, Mr. S. P. Balasubrahmanyam, who was well known for his signature romantic songs. It is these very songs that come alive in Gokuldham as everybody joins in to hum a tune or two. What can be a better way to celebrate the music journey of the great singer who now finds peace in the laps of heaven? Keep watching this memorable episode.",21 mins,08 Oct 2020
10,3011,"SP Balsubrahmanyam, Not Letting Go So Soon!","Gokuldham is reminiscing the memory of the great singer, SP Balasubrahmanyam by singing many of his super hit songs. Bhide follows suit and belts out three songs all to woo his better half, Madhvi. The tribute session is wrapped up by Iyer who sings a beautiful Tamil song to pay a tribute to the singer, who has left the earth for heavenly abode.",20 mins,09 Oct 2020
11,3012,Jethalal In Covid Crisis,"Jethalal gets a piece of mind from Bapuji for being callous in the pandemic times. However, since he has little choice but to step out to buy some essential household items, he approaches Bhide with a request of borrowing his Sakharam. Will Bhide agree to help Jethalal? Watch this episode to understand.",21 mins,12 Oct 2020
12,3013,A Lazy Visit To The Market,"Jetha wants to visit the market to buy vegetables but doesn’t want to go alone. A tiny tussle with Bhide and Sodhi’s bike being broken, takes away all chances of them accompanying him. A determined Jetha visits Mehta Sahab hoping Mehta will accompany him. Will Mehta go along with Jetha to the market?",20 mins,13 Oct 2020
13,3014,"Worry Thy Name, Jethalal!","Already frustrated with the pandemic, Jethalal starts to lose his patience when various people call him with various financial demands. In search of the solution to his crisis, Jethalal thinks of investing in the stock market, but his friend’s financial losses make him take a step back. Looking at his impatience, Bapuji tries to calm him down, however, Jethalal feels worried about his Gokuldham friends as well. Will Jethalal calm down or not? Watch this episode to find out.",21 mins,14 Oct 2020
14,3015,Chacha’s Gokuldham Survey,"Champak Chacha, on seeing his son tense, decides to make a visit to other residents to find out how they are dealing with the pandemic stress. To his surprise, he finds that everyone is stressed for one reason or another. How will Chacha himself deal with all this negativity around?",21 mins,15 Oct 2020
15,3016,Gokuldham Wrapped In Stress,"Gokuldham seems to be engulfed in unending stress and tension in this pandemic scenario. Bhide, being the society’s secretary, is clueless as to how to handle this negativity. Will Chacha ji, everyone’s last hope, think of something? Stay tuned and pray Gokuldham bounces back soon.",21 mins,16 Oct 2020
16,3017,Gokuldham In Covid-19 Clutch,"Gokuldham is getting engulfed in the pandemic doldrums day by day. Chacha ji is worried and helpless seeing the situation. He prays to God to help them out of this crisis. Meanwhile, Popatlal’s actions are not helping the matter much. What is he upto? Tune in to this episode to find out.",21 mins,19 Oct 2020
17,3018,Gokuldham Bounces Back,"Stress is on the rise in Gokuldham every single day. So much so that there occurs an ugly fight over a ball between all residents. Just then, Chacha ji comes up with an idea which restores peace in the society. Watch the episode to find out what Chacha ji does.",21 mins,20 Oct 2020
18,3019,This Too Shall Pass,"The Covid crisis seems to have brought a lot of trouble for the Gokuldhamvasis. The men of the society have been wrecking a havoc and this news reaches Champaklal. Thanks to all the complaints coming in from the women of the society, Chacha ji gives an earful to the men, asking them to respect their better-halves and not let the crisis get bigger than their relationship. Tune in to see what Chacha ji has to say to each one of them.",21 mins,21 Oct 2020
19,3020,Late Lateef Bhide,"There is a meeting in Gokuldham for the Navratri celebration and everyone has been asked to assemble at sharp 5 o’clock. As everyone gathers around, the organiser, Bhide is missing. The residents keep on waiting, but Bhide is nowhere to be seen. What causes Bhide’s delay? Watch this hilarious episode to find out.",20 mins,22 Oct 2020
20,3021,Babita-Popatlal’s Pair For Garba,"Gokuldham like other years is all set to celebrate the grand festival of Navratri. However, unlike other years, this year the Navratri is going to be celebrated keeping in mind the guidelines of the new normal. Popatlal is upset on not finding anyone to pair with for Garba. But Babita offers to be his partner. Will this sit well with Jethalal?",20 mins,23 Oct 2020
21,3022,"Jetha, The Costume Man","With Garba night just a few hours away, everyone in Gokuldham is busy with the preparations. Jethalal gets the very important task of arranging proper costumes for all the participants of the online Garba competition. Babita and Tapu Sena take charge of the society decoration. Catch this fun-filled episode to enjoy all the hustle bustle associated with the festival.",20 mins,26 Oct 2020
22,3023,Bapuji’s Opening Act,"After a lot of hard work, team Gokuldham is all excited to enjoy the Navratri festivities. Amid all the glitter and glamour, the first to perform on stage is one and only, Bapuji. Don’t forget to catch this episode to enjoy Bapuji’s special performance. Tune in now.",20 mins,27 Oct 2020
23,3024,"Bhide, Hathi And Mehta’s Garba","The entire Gokuldham is grooving on the occasion of Navratri. Next in line for the couple garba competition is Bhide and Madhvi. Right after comes Dr. Hathi and Komal followed by Mehta Saab and Anjali. Last but not the least, Tapu Sena’s high adrenaline performance, infuses amazing energy and spark in the air. Enjoy the performances in this episode.",20 mins,28 Oct 2020
24,3025,Babita-Popat Versus Jetha-Iyer,"The Navratri fun and excitement continues at Gokuldham. Sodhi and Popatlal participate in a vocal duet. Afterwards, the Navratri Garba performances of the jodis continue with Babita and Popatlal, and Jetha and Iyer. What will be the outcome of this competition? Tune in to find out.",22 mins,29 Oct 2020
25,3026,"Jethalal-Iyer, Not The Only Winners","The Gokuldham Navratri online Garba competition has come to an end and it’s time to reveal the winners’ names. Abdul and Bagha bag the second runners up position. Mr. and Mrs. Hathi are the first runners up. For the first prize, there is a tie between two jodis. Apart from Jethalal and Iyer, who’s the other jodi? Stay tuned to find out.",20 mins,30 Oct 2020
26,3027,Gokuldham Unlocked,"The lockdown has turned down the atmosphere of Gokuldham society. Everyone is worried and feeling down. So, they express their thoughts about the same. Then the news of the unlock phase reaches their ears, sparking a wave of joy among them. They start celebrating the occasion.",21 mins,02 Nov 2020
27,3028,Jetha Ignites An Argument,"Tapu Sena, in its own style, commemorates Dr. Hansraj, by singing a rap, which Tapu and others have prepared specially for him. Jetha comments on something, because of which everyone in the Gokuldham society gets into an argument. What comment of Jethalal invites trouble? Stay tuned to this episode to find out.",20 mins,03 Nov 2020
