,episode_number,Episode_title,description,Episode_runtime,Released_on
0,1801,Electric Fault,"Residents of Gokuldham have started their day with the preparation of a list of things to be bought from the market, as they will be needed during the renovation. Meanwhile, Babu has discovered a major fault in the mainline of society's electrical framework. What will people of Gokuldham do now? Can this renovation work end before Diwali?",19 mins,09 Nov 2015
1,1802,Unique Celebration,"Gokuldham residents are worried about celebrating Diwali as their homes will not be ready by the day of Diwali. However, Champaklal comes up with the idea to celebrate Diwali in the Gokuldham society compound. Meanwhile, Who has come to pay a visit to Gokuldham residents?",20 mins,10 Nov 2015
2,1803,Diwali In Gokuldham,"In this Diwali Special episode of Taarak Mehta Ka Ooltah Chashmah, we will be meeting two amazing guests, who have come to celebrate Diwali in Gokuldham Society. The guests are Salman Khan and Sonam Kapoor, who would be meeting our lovely residents of Gokuldham society. Want to know more? Find out in this episode.",21 mins,11 Nov 2015
3,1804,Water Shortage,"The contractor informs the residents that there will be a shortage of water in the society, as the municipal corporation has decided to cut short the water supply for the time being. How will everyone deal with this problem? Watch the episode to find out.",20 mins,12 Nov 2015
4,1805,Last Stage Of Renovations,"Babu tells that due to the unavailability of painters, houses of Gokuldham residents will not be handed over to them by the decided date. This makes the residents very unhappy but after much discussion, everyone decides to paint their house by themselves. Find out more by watching the episode.",20 mins,13 Nov 2015
5,1806,House Warming,"Residents of Gokuldham are celebrating the completion of the renovation job and are happy that they can return to their respective homes, but their hope gets halted by a phone call. Want to know more? Stay tuned on Sony liv.",20 mins,16 Nov 2015
6,1807,Renovated Homes,"Residents of Gokuldham have now entered in their new homes and are extremely pleased by them. Sundar's gift has especially pleased Jethalals and he seems to be impressed by Sundar's effort. Meanwhile, Tappu Sena visits Bhide's home to take his blessings.",18 mins,17 Nov 2015
7,1808,Inspection,"Residents of Gokuldham visit each other's place so that they can get acquainted with the newly renovated society of theirs. After the inspection of all the renovated homes, now is the time to see the clubhouse. How will the clubhouse look? And what is this secret party that Sodhi is planning?",19 mins,18 Nov 2015
8,1809,Soda Shop,"Men of Gokuldham are sitting at the soda shop and enjoying their conversation. To make fun of Popatlal, Bhide started the budget discussion. After all the fun and games, the men talk about how important Abdul's Soda Shop is for them.",21 mins,19 Nov 2015
9,1810,Plot To Steal,"People at Gokuldham are enjoying their new homes. Champaklal has thought of starting Jethalal off on a new fitness journey, after moving into their new home. Meanwhile, a man and a woman come to Gokuldham society at night, plotting to rob the residents blind.",18 mins,20 Nov 2015
10,1811,Drama Competition,"Champaklal informs Daya that yesterday two thieves had stolen some expensive jewellery from a woman living near Gokuldham society. In the meantime, a thief enters Jethalal's house and points a gun towards Champaklal and Daya. He ordered them to bring all expensive jewellery and cash present in the house. What will happen now? Stay tuned to find out more.",20 mins,23 Nov 2015
11,1812,Bhide And His Sakharam,"Its early morning time, everyone at Gokuldham Society was going for their work. Bhide too was trying to start his scooter and it was then Sodhi came and asked for a lift on his Sakharam to his Garage. Seeing this Doctor Haathi and his wife too jokingly asked for a lift to a hospital. However, on the other hand, Vicky and others were casing Gokuldham Society to execute their robbery plan.",20 mins,24 Nov 2015
12,1813,Killer Perfume,"Vicky and his associate, Mona, had a plan to loot the residents of Gokuldham Society. Mona visited every flat and introduced herself as Daya's friend. However, everyone seemed to be falling unconscious after a while. Keep watching the show to get to the root of the matter.",19 mins,25 Nov 2015
13,1814,Robbery Successful,"Vicky and Mona's plan to loot the residents of Gokuldham Society was executed very smoothly. Mona has now entered Jethalal's house to loot Daya's jewellery and cash. However, on reaching there she didn't get a chance to make her unconscious. Will Mona succeed in looting Daya as well?",21 mins,26 Nov 2015
14,1815,Popatlal Knows,"Vicky and Mona were executing their robbery plan in Gokuldham Society but at a very crucial stage, Popatlal saw them in the compound. It made him suspicious about their motives and soon he got to know that these unknown people are thieves. Will Popatlal manage to stop them? Watch the episode to find out.",20 mins,27 Nov 2015
15,1816,Theft,"The plan of robbing Gokuldham Society was successfully executed by Vicky and Mona. They have managed to flee with the looted jewellery and other valuables from the society. However; when Daya regained consciousness, heavens broke upon her after knowing that everything has been stolen and the same was with other women of the society. Everyone was crying and grieving at their loss.",20 mins,30 Nov 2015
16,1817,Police Investigation,Residents of Gokuldham have suffered from a traumatic experience as valuables were stolen from their homes in broad daylight. Police have reached the crime spot and started their investigation. Can the couple robbing the innocent women get in the clutches of police?,21 mins,01 Dec 2015
17,1818,Abdul Catches The Thieves,Abdul brings the jewellery thieves back to Gokuldham as he caught them while they were running away. Police also reached Gokuldham to arrest the criminals but Inspector Pandey seems to be upset. Why is he upset? How did Abdul catch the thieves?,20 mins,02 Dec 2015
18,1819,Abdul's Bravery,"Inspector Pandey took the thieves with him and now Gokuldham residents are relived. Jethalal, later, gets to know about the incident in Gokuldham and commends Abdul's bravery. Meanwhile, Bhide has something for his fellow residents. What could be this gift from Bhide?",20 mins,03 Dec 2015
