,episode_number,Episode_title,description,Episode_runtime,Released_on
0,1701,Bhide Gets Shocked,"Tarak and Anjali are sitting and discussing the college admissions of Tapu, Goli, and Sonu. On the other hand, Sonu tries a different hairstyle, and seeing her Bhide is shocked.",19 mins,01 Jun 2020
1,1702,Discussing The College Admissions,Jethalal and the others gather at Abdul's shop for some soda and to discuss the college admissions of their children. They all decide to go together the next morning to check the first list of college admissions for their children.,20 mins,01 Jun 2020
2,1703,Looking For Colleges,Everybody is worried about children's college admission. They decide to go and check various colleges for admission. Watch the Full Episode now to find out more.,20 mins,01 Jun 2020
3,1704,Jethalal Worries,Jethalal finalizes a college for admission but later finds out that getting admission is hard in that college. Jethalal gets worried about the same. Watch the episode to find out what happens next.,19 mins,01 Jun 2020
4,1705,Bagha's Suggestion,"When Jethalal goes to the shop thinking about Tapu Sena's admission, Bagha gives the best option saying Bawri can help Tapu Sena get the admission done in the same college.",20 mins,01 Jun 2020
5,1706,Say No To Influence,"Champaklal tells Jethalal that he is not ready to get Tapu admitted in the college, by using anybody's influence. Champaklal even calls up Goverdhan Bhai and tells him the same",20 mins,01 Jun 2020
6,1707,Lots Of Trouble,"A very disappointed Jethalal comes out of the principal's cabin, but Tapu tries to console him. Later while going home, Jethalal tells everything to Daya and Champaklal.",19 mins,05 Jun 2020
7,1708,Seeking Setting Bhai's Help,"Jethalal with a boost of courage leaves to meet Taarak at the college to expose the notorious activities of Setting Bhai. Reaching the canteen where Setting Bhai is, Jethalal and Taarak approach him and offer to pay him any sum of money for the admission.",21 mins,05 Jun 2020
8,1709,The Transaction,Nattu Kaka and Bagha get the cash to Jethala's house and they both are extremely proud of Jethalal when they learn about the purpose of the cash.,19 mins,05 Jun 2020
9,1710,Jethalal's Plan,"Jethalal and Tarak reach the office of the trustee, I.M.Khare with the amount that was asked for. Before entering the office, Jethalal switches on the spy camera in his pen. Watch the Episode to find out what happens next.",17 mins,05 Jun 2020
10,1711,Complaint Against I,Jethalal accompanied by Taarak walks into the police station. Pandey is shocked when he hears that a trustee of the city's number one college has asked for a donation of 7 Lacs.,19 mins,05 Jun 2020
11,1712,Police Lock-Up,"Inspector Pandey handcuffs both Jethalal and Taarak and puts them in the lock-up. On the other hand, Daya starts getting worried about Jethalal not having returned home.",19 mins,05 Jun 2020
