,episode_number,Episode_title,description,Episode_runtime,Released_on
0,2901,Who Is The Thief?,"As the party nears the end, Kajol finds out that her phone is missing, everybody concludes that somebody must have stolen Kajol's phone. Members of the Gokuldham society fail to find it and the police are called for an investigation. Who is the thief? Tune in to find out.",19 mins,08 Jan 2020
1,2902,Mobile Creates Misunderstanding,"Jethalal takes Kajol's phone by mistakenly, the police starts checking everyone, Jethalal gets scared and asks Taarak for help.  Kajol and Ajay are eager to know who is the thief? What will happen when everyone finds out that the phone is with Jethalal.",19 mins,09 Jan 2020
2,2903,Sodhi Plans For Lohri Celebration,"As Lohri approaches, Sodhi plans to go to Punjab with his family for the celebrations. Madhavi asks Bhide to buy a new cupboard but he decides to get it repaired instead. Popatlal objects Bhide for repairing his cupboard in the compound.",21 mins,10 Jan 2020
3,2904,Gokuldham Plans For Lohri Celebration,Sodhi returns to the Gokuldham society disheartened because he couldn't make it to Amritsar due to some last minute flight issues. Gokuldham residents decide to celebrate Lohri in an authentic Punjabi style in the society compound.,21 mins,13 Jan 2020
4,2905,Jetha Fails to Arrange Wood,Preparations to celebrate Lohri in Gokuldhaam begin. Gokuldham Ladies are very exited and start their dance practice. Jethalal has been given the responsibility to get wood for the celebrations. Society members try to get in touch with him for the wood but Jethalal is unreachable. How will they celebrate Lohri without the wood?,20 mins,14 Jan 2020
5,2906,Lohri Celebration,Jethalal is worried about arranging the wooden logs for Lohri. He finds a cupboard outside Abdul's shop and decides to use it. Everyone enjoys the festival. What will happen when Bhide finds out that Jethalal has burnt his cupboard?,21 mins,15 Jan 2020
6,2907,Tapu Sena's Surprise,Gokuldham Residents are very happy and celebrate Lohri with full gusto. Tapu Sena announces that a special guest is joining them to celebrate Lohri. All residents are curious to know who's the special guest.,20 mins,16 Jan 2020
7,2908,Jethalal In Trouble,Jethalal is in a fix as soon as he realizes that the wooden cupboard that got cut into logs that was used to fire the Lohri belonged to Bhide. Natu Kaka and Bagha inform Bhide about what happened to his cupboard. How will Bhide react to this news?,22 mins,17 Jan 2020
8,2909,Phone Mishandling,Everyone gets back to normal life post Lohri Celebrations. It's a routine day at Gokuldhaam and everyone is looking forward to get back to work. Only that it's Gokuldhaam and nothing can happen normal here. Watch out how their day turns out with a lot of  phone mishandling.,20 mins,20 Jan 2020
9,2910,Tapu Sena Wants To Dance,"Sonu is extremely excited because she has been selected to perform in front of Varun Dhawan and Shraddha Kapoor at their college, on the other hand Bhide unknowingly books tickets for Kolhapur for the whole family on the same day of Sonu's performance. What will Sonu do now?",19 mins,21 Jan 2020
10,2911,Tapu Sena's Dance Performance,"Tapu Sena is all charged up and start practicing for their performance. All the parents are also happy to see their kids so thrilled and excited. Later in the day, Bhide gets worried when Sonu doesn't return home until late at night. Watch the episode to know what happens next.",20 mins,22 Jan 2020
11,2912,Bhide In Search Of Sonu,Bhide gets worried about Sonu and blames Tapu that he has taken the kids outside making the excuse of rehearsals. All the adults reminisce their school and college days. Tapu Sena takes everyone's blessings before leaving for college on the day of their performance.,19 mins,23 Jan 2020
12,2913,Tapu Sena's Disappointment,"Excited Tapu Sena is ready for the performance and is leaving for college, just then Sonu breaks her leg and the doctor suggests her to rest for a week. Tapu Sena decides not to perform without Sonu. Gokuldham residents get disappointed with the news.",21 mins,24 Jan 2020
13,2914,Gokuldham Ke Stars,Varun Dhawan introduces all the Gokuldham residents to Shraddha Kapoor. There is a celebration all over  as Varun Dhawan and Shraddha Kapoor dance on the songs of their upcoming film Street Dancer and make Gokuldham residents dance along with them.,19 mins,27 Jan 2020
14,2915,A Tiff Between Jethalal And Bhide,"Bhide receives an insulting message from Bagha that enrages him and makes him think that it's Jethalal who has used Bagha to send this inappropriate message, resulting in a tiff between Bhide and Jethalal.",20 mins,28 Jan 2020
15,2916,The Fight Resolves,Jethalal and Bagha get into a heated argument. Jethalal calls Bagha to find out the reason behind sending Bhide such an inappropriate message. What is the reason behind Bagha sending such a message. Tune in to find out.,19 mins,29 Jan 2020
16,2917,Nattu Kaka And Bagha Get A Magical Ring,Natu Kaka and Bagha inform Jethalal that they have a solution to all his problems. They try to convince Jethalal to wear a magical ring. Watch the episode to find out how Jethalal responds to Natu Kaka and Bagha's new scheme.,21 mins,30 Jan 2020
17,2918,Chamatkaar Ko Namaskaar,"Despite Jethalal's severe detestation about the magical ring, Bagha and Natu Kaka are still hellbent on convincing him about its authenticity. Meanwhile, they find an easy believer in Popatlal, who is impressed by the ring and asks Bagha to order one for him. Will the ring be of any help to Popatlal?",20 mins,31 Jan 2020
18,2919,Popatlal Meets His Match,"Popatlal gets a marriage proposal after wearing the ring, he takes Jethalal along with him to meet his bride-to-be and her family. Popatlal looses the ring in the wash basin of the restaurant. What will happen now? Tune in to find out.",19 mins,03 Feb 2020
19,2920,Jethalal Wears The Magical Ring,Bagha and Natu Kaka give the magical ring to Jethalal and it proves lucky for Jethalal. This makes him concur with them regarding the prowess of the ring. Will the ring prove beneficial to Jethalal in the long run?,19 mins,04 Feb 2020
20,2921,Jethalal Gets Lucky,"Bhide, Iyer, Champaklal and Tapu treat Jethalal with a lot of love and respect. Natu Kaka and Bagha ask Jethalal to deduct their salaries. Jethalal is in disbelief with the drastic change in his fortunes.",20 mins,05 Feb 2020
21,2922,Jethalal's Magical Life,"The magical ring has brought immense luck in Jethalal's life. Bhide, who constantly bickers with Jethalal, apologizes to him and proposes his daughter's marriage with Tapu. Jethalal is absolutely shocked when Sundar arrives at the society. Has Jethalal's luck ran out?",20 mins,06 Feb 2020
