,episode_number,Episode_title,description,Episode_runtime,Released_on
0,3301,Iyer Trips And Falls,Taarak asks Jethalal to stay calm and ask his contractor for a deadline. Iyer trips on a banana peel and breaks his cell phone.,21 mins,12 Nov 2021
1,3302,Pyaar Ki Kala,"When Bhide finds that Tapu has ordered footwear worth five thousand rupees, he scolds Jethalal for pampering Tapu. Jethalal reaches his shop to find that the contractor hasn't arrived for the meeting.",21 mins,13 Nov 2021
2,3303,Jethalal Se Vasooli,Jethalal sends Bagha to a local mobile repair show for fixing Babita's phone. Bhide has to deal with three guys who are adamant about taking 2 lakh rupees from Jethalal.,20 mins,15 Nov 2021
3,3304,Jethalal Ke Office Aye Gunde,"The goons, who believe that Jethalal owes them money, reach his office and demand money. Jethalal, still confused, tries to figure out who they are and how does he owe them money.",20 mins,16 Nov 2021
4,3305,Searching For Santosh Contractor,"Jethalal frantically looks for his contractor Santosh. He ends up calling multiple numbers but fails to get in touch with him. Meanwhile, Babita and Iyer wait for Jethalal to come back with her phone.",20 mins,17 Nov 2021
5,3306,Finding Babita's Phone,Iyer calls Bagha and asks him about Babita's phone. Jethalal calls the vasooli agents and tries to get the phone back.,21 mins,18 Nov 2021
6,3307,Retrieving Babita's Phone,"Jethalal calls the goon who has Babita's phone and begs him to give the phone back to him. However, the goon doesn't budge and asks for his money. What compromise does Jethalal need to do to get the phone back?",20 mins,19 Nov 2021
7,3308,Jethalal's Lies Get Caught,Iyer and Babita arrive at Jethalal's godown and find that he has been lying about Babita's phone all along. Jethalal turns to Taarak to help him find a solution.,20 mins,20 Nov 2021
8,3309,Jethalal Ki Deal,Jethalal gets jumped on by other members of Gokuldham for being irresponsible with Babita's phone. Taarak helps Jethalal to set up a meeting with the vasooli agents.,22 mins,22 Nov 2021
9,3310,Paise Do Phone Lo,Sodhi gets ready to take on the vasooli agents with Babita's phone. Jethalal sets up a meeting with the agents in the hopes of returning Babita's phone.,20 mins,23 Nov 2021
10,3311,Jethalal Arrested,"Jethalal, Taarak and Sodhi are arrested by the police and taken to the station. They get happy to see Inspector Pandey on duty but, he refuses to treat their case in a partial manner.",20 mins,24 Nov 2021
11,3312,Jethalal And Gang In Lock-Up,"Jethalal, Taarak and Sodhi get locked up in Inspector Pandey's station. They keep requesting Inspector Pandey to show them some leniency.",21 mins,25 Nov 2021
12,3313,Jethalal Retrieves Babita's Phone,"Jethalal requests Inspector Pandey to drop him, Taarak and Sodhi at Gokuldham Society. Bapuji finds out the story of Jethalal's arrest through Bhide.",20 mins,26 Nov 2021
13,3314,Chappal Exchange,Babita thanks Jethalal for repairing and returning her phone safely. Jethalal argues about exchanging the footwear that Tapu ordered online.,21 mins,27 Nov 2021
14,3315,Popatlal Ko Laga Jhatka,Popatlal gets angry at Bhide for being carefree about the accidents at the Gokuldham Society. How will the members of Gokuldham solve this new issue?,21 mins,29 Nov 2021
15,3316,Madhvi Ki Keemti Saree,"Madhvi informs Bhide that her brother, Vinayak, will be coming over with his family. Bhide gets distracted and burns Madhvi's saree by accident.",20 mins,30 Nov 2021
16,3317,Bhide Gets Caught,"Bhide is in a hurry to leave, but the people of Gokuldham keep coming in his way. Bhide has to hide as he runs into Madhvi and Sonu at the market.",20 mins,01 Dec 2021
